GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
ABC-type xenobiotic transporter activity,GO:0008559,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
acetylcholinesterase activity,GO:0003990,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Aluminum,0,
alkaline phosphatase activity,GO:0004035,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcitriol,0,
alkaline phosphatase activity,GO:0004035,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
glutathione peroxidase activity,GO:0004602,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,2,Aluminum|Calcitriol,0,
glutathione transferase activity,GO:0004364,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
histone deacetylase activity,GO:0004407,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
lactate dehydrogenase activity,GO:0004457,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
monoamine oxidase activity,GO:0097621,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Aluminum,0,
NADPH dehydrogenase (quinone) activity,GO:0008753,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
protein kinase C activity,GO:0004697,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
superoxide dismutase activity,GO:0004784,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Aluminum,0,
superoxide dismutase activity,GO:0004784,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
