GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity,GO:0003845,Liver Cirrhosis,MESH:D008103,0,,1,HSD11B2
14-3-3 protein binding,GO:0071889,"Liver Cirrhosis, Experimental",MESH:D008106,0,,2,ARRB2|RT1-CE5
15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity,GO:0047020,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,AKR1C3
"17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity",GO:0047006,"Liver Cirrhosis, Experimental",MESH:D008106,0,,4,AKR1C1|AKR1C3|CYP17A1|HSD17B2
17-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0072582,Liver Cirrhosis,MESH:D008103,2,chromium hexavalent ion|Tetrachlorodibenzodioxin,0,
17-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0072582,"Liver Cirrhosis, Experimental",MESH:D008106,1,Tetrachlorodibenzodioxin,0,
1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0003841,"Liver Cirrhosis, Alcoholic",MESH:D008104,0,,2,MBOAT7|PNPLA3
"1-alpha,25-dihydroxyvitamin D3 23-hydroxylase activity",GO:0062181,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,CYP3A13
1-phosphatidylinositol-3-kinase activity,GO:0016303,Liver Cirrhosis,MESH:D008103,1,sodium arsenite,1,ATM
1-phosphatidylinositol-3-kinase regulator activity,GO:0046935,"Liver Cirrhosis, Experimental",MESH:D008106,0,,2,SOCS1|SOCS2
1-phosphatidylinositol 4-kinase activity,GO:0004430,Liver Cirrhosis,MESH:D008103,1,Quercetin,0,
1-phosphatidylinositol 4-kinase activity,GO:0004430,"Liver Cirrhosis, Experimental",MESH:D008106,1,Quercetin,0,
1-phosphatidylinositol binding,GO:0005545,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,ZFYVE16
2-(3-amino-3-carboxypropyl)histidine synthase activity,GO:0090560,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,ES2
"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity",GO:0004113,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,CNP
2-acylglycerol-3-phosphate O-acyltransferase activity,GO:0047144,"Liver Cirrhosis, Alcoholic",MESH:D008104,0,,1,MBOAT7
2-aminoadipate transaminase activity,GO:0047536,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,AADAT
2'-deoxyadenosine deaminase activity,GO:0046936,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,ADA
"2 iron, 2 sulfur cluster binding",GO:0051537,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,TRIM59
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,Liver Cirrhosis,MESH:D008103,0,,2,ARRB1|TNFRSF1B
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,"Liver Cirrhosis, Experimental",MESH:D008106,0,,3,BBOX1|BLVRA|IVD
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,"Liver Cirrhosis, Experimental",MESH:D008106,2,1-Methyl-3-isobutylxanthine|Curcumin,0,
"3',5'-cyclic-nucleotide phosphodiesterase activity",GO:0004114,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,NCKAP1L
3'-5'-exodeoxyribonuclease activity,GO:0008296,"Liver Cirrhosis, Biliary",MESH:D008105,0,,1,SPIB
3'-5' exonuclease activity,GO:0008408,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,PLEK
3'-5'-exoribonuclease activity,GO:0000175,"Liver Cirrhosis, Experimental",MESH:D008106,0,,4,AEN|ASNS|ISG20|NOCT
"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase activity",GO:0033791,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,ACOX2
3beta-hydroxy-5beta-steroid dehydrogenase activity,GO:0033703,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,AKR1C1
