GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity,GO:0003845,"Diabetes Mellitus, Type 1",MESH:D003922,0,,1,HSD11B2
14-3-3 protein binding,GO:0071889,"Diabetes Mellitus, Experimental",MESH:D003921,0,,4,IRS2|PRKCE|TP53|TRP53
14-3-3 protein binding,GO:0071889,"Diabetes Mellitus, Type 2",MESH:D003924,0,,3,AKT1|IRS2|NFATC2
16-hydroxypalmitate dehydrogenase activity,GO:0103002,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,CYP4A14
17-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0072582,Diabetes Mellitus,MESH:D003920,3,Docosahexaenoic Acids|docosapentaenoic acid|Tetrachlorodibenzodioxin,0,
17-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0072582,"Diabetes Mellitus, Type 1",MESH:D003922,1,Tetrachlorodibenzodioxin,0,
"1-alpha,25-dihydroxyvitamin D3 23-hydroxylase activity",GO:0062181,"Diabetes Mellitus, Type 2",MESH:D003924,0,,1,CYP3A2
1-phosphatidylinositol-3-kinase activity,GO:0016303,"Diabetes Mellitus, Experimental",MESH:D003921,1,sodium arsenite,0,
1-phosphatidylinositol-3-kinase activity,GO:0016303,"Diabetes Mellitus, Type 1",MESH:D003922,1,sodium arsenite,0,
1-phosphatidylinositol-3-kinase activity,GO:0016303,"Diabetes Mellitus, Type 2",MESH:D003924,0,,1,PIK3CG
1-phosphatidylinositol 4-kinase activity,GO:0004430,"Diabetes Mellitus, Experimental",MESH:D003921,1,Quercetin,0,
1-phosphatidylinositol-4-phosphate 3-kinase activity,GO:0035005,"Diabetes Mellitus, Type 2",MESH:D003924,0,,1,PIK3CG
"2,4-dienoyl-CoA reductase (NADPH) activity",GO:0008670,"Diabetes Mellitus, Type 2",MESH:D003924,0,,1,USP48
"2 iron, 2 sulfur cluster binding",GO:0051537,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,AIFM1
"2 iron, 2 sulfur cluster binding",GO:0051537,"Diabetes Mellitus, Type 1",MESH:D003922,0,,1,AIFM1
"2 iron, 2 sulfur cluster binding",GO:0051537,"Diabetes Mellitus, Type 2",MESH:D003924,0,,1,CISD2
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,"Diabetes Mellitus, Type 2",MESH:D003924,0,,3,FTO|KCNU1|TNFRSF1B
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,Diabetes Mellitus,MESH:D003920,1,Atrazine,0,
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,"Diabetes Mellitus, Type 2",MESH:D003924,2,Atrazine|Curcumin,1,ENPP1
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,"Diabetes Mellitus, Experimental",MESH:D003921,1,sodium arsenite,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,"Diabetes Mellitus, Type 1",MESH:D003922,1,sodium arsenite,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,"Diabetes Mellitus, Type 2",MESH:D003924,1,Curcumin,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,Diabetes Mellitus,MESH:D003920,2,Chlorpromazine|Tetrachlorodibenzodioxin,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,"Diabetes Mellitus, Experimental",MESH:D003921,2,sodium arsenite|Taurine,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,"Diabetes Mellitus, Type 1",MESH:D003922,4,decabromobiphenyl ether|sodium arsenite|Taurine|Tetrachlorodibenzodioxin,0,
