GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
14-3-3 protein binding,GO:0071889,Epilepsy,MESH:D004827,0,,3,AKT1|KCNH1|TSC2
1-acylglycerophosphocholine O-acyltransferase activity,GO:0047184,"Epilepsy, Tonic-Clonic",MESH:D004830,0,,1,NES
2-hydroxyglutarate dehydrogenase activity,GO:0047545,Epilepsy,MESH:D004827,0,,1,L2HGDH
"2-hydroxyglutarate dehydrogenase activity, forward reaction",GO:0061758,Epilepsy,MESH:D004827,0,,1,L2HGDH
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,Epilepsy,MESH:D004827,0,,1,ALG13
3'-5' exonuclease activity,GO:0008408,Epilepsy,MESH:D004827,0,,1,POLG
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Chlorpromazine,0,
3-phosphoinositide-dependent protein kinase activity,GO:0004676,Epilepsy,MESH:D004827,0,,2,AKT1|ERN1
5'-deoxyribose-5-phosphate lyase activity,GO:0051575,Epilepsy,MESH:D004827,0,,1,POLG
5'-nucleotidase activity,GO:0008253,Epilepsy,MESH:D004827,1,nimesulide,0,
6-phosphofructo-2-kinase activity,GO:0003873,"Epilepsy, Absence",MESH:D004832,1,Lithium Carbonate,0,
6-phosphofructo-2-kinase activity,GO:0003873,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Lithium Carbonate,0,
A2A adenosine receptor binding,GO:0031687,"Epilepsy, Temporal Lobe",MESH:D004833,0,,1,GRM5
ABC-type oligopeptide transporter activity,GO:0015421,Epilepsy,MESH:D004827,0,,1,ABCB1
ABC-type transporter activity,GO:0140359,Epilepsy,MESH:D004827,0,,1,ABCB1
ABC-type xenobiotic transporter activity,GO:0008559,Epilepsy,MESH:D004827,1,Dronabinol,1,ABCB1
acetylcholine binding,GO:0042166,"Epilepsy, Frontal Lobe",MESH:D017034,0,,2,CHRNA4|CHRNB2
acetylcholine binding,GO:0042166,"Epilepsy, Generalized",MESH:D004829,0,,1,CHRNA7
acetylcholine binding,GO:0042166,"Epilepsy, Nocturnal Frontal Lobe, Type 1",MESH:C563930,0,,1,CHRNA4
acetylcholine binding,GO:0042166,"Epilepsy, Nocturnal Frontal Lobe, Type 3",MESH:C565334,0,,1,CHRNB2
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,Epilepsy,MESH:D004827,1,Dronabinol,0,
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,"Epilepsy, Frontal Lobe",MESH:D017034,0,,2,CHRNA4|CHRNB2
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,"Epilepsy, Generalized",MESH:D004829,0,,1,CHRNA7
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,"Epilepsy, Nocturnal Frontal Lobe, Type 1",MESH:C563930,0,,1,CHRNA4
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,"Epilepsy, Nocturnal Frontal Lobe, Type 3",MESH:C565334,0,,1,CHRNB2
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,"Epilepsy, Nocturnal Frontal Lobe, Type 4",MESH:C563679,0,,1,CHRNA2
acetylcholine receptor activity,GO:0015464,"Epilepsy, Frontal Lobe",MESH:D017034,0,,2,CHRNA4|CHRNB2
acetylcholine receptor activity,GO:0015464,"Epilepsy, Generalized",MESH:D004829,0,,1,CHRNA7
acetylcholine receptor activity,GO:0015464,"Epilepsy, Nocturnal Frontal Lobe, Type 1",MESH:C563930,0,,1,CHRNA4
acetylcholine receptor activity,GO:0015464,"Epilepsy, Nocturnal Frontal Lobe, Type 3",MESH:C565334,0,,1,CHRNB2
acetylcholine receptor activity,GO:0015464,"Epilepsy, Nocturnal Frontal Lobe, Type 4",MESH:C563679,0,,1,CHRNA2
acetylcholinesterase activity,GO:0003990,Epilepsy,MESH:D004827,2,Dronabinol|Plant Extracts,0,
acetylcholinesterase activity,GO:0003990,"Epilepsy, Temporal Lobe",MESH:D004833,1,Plant Extracts,0,
acetylcholinesterase activity,GO:0003990,"Epilepsy, Tonic-Clonic",MESH:D004830,7,Aluminum|Aluminum Hydroxide|Hexachlorocyclohexane|Paraoxon|Plant Extracts|pralidoxime|Sarin,1,BCHE
[acetyl-CoA carboxylase] kinase activity,GO:0050405,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Ethanol,0,
acidic amino acid transmembrane transporter activity,GO:0015172,Epilepsy,MESH:D004827,0,,3,SLC1A1|SLC1A2|SLC1A3
acidic amino acid transmembrane transporter activity,GO:0015172,"Epilepsy, Temporal Lobe",MESH:D004833,0,,1,SLC1A1
acid phosphatase activity,GO:0003993,Epilepsy,MESH:D004827,3,Cisplatin|Folic Acid|Plant Extracts,0,
acid phosphatase activity,GO:0003993,"Epilepsy, Temporal Lobe",MESH:D004833,1,Plant Extracts,0,
acid phosphatase activity,GO:0003993,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Plant Extracts,0,
actin binding,GO:0003779,Epilepsy,MESH:D004827,0,,4,ALG13|DYRK1A|FLNA|HNRNPU
actin binding,GO:0003779,"EPILEPSY, FAMILIAL TEMPORAL LOBE, 1",OMIM:600512,0,,1,MICAL1
actin binding,GO:0003779,"Epilepsy, X-Linked, with Variable Learning Disabilities and Behavior Disorders",MESH:C564505,0,,1,SYN1
actin binding,GO:0003779,Generalized Epilepsy and Paroxysmal Dyskinesia,MESH:C563719,0,,1,KCNMA1
actin filament binding,GO:0051015,Epilepsy,MESH:D004827,0,,1,FLNA
actin filament binding,GO:0051015,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Procaine,0,
