GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
14-3-3 protein binding,GO:0071889,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,2,ESR1|PRKCE
"17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity",GO:0047006,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,CYP17A1
17-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0072582,Non-alcoholic Fatty Liver Disease,MESH:D065626,2,Linoleic Acid|Tetrachlorodibenzodioxin,0,
1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0003841,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PNPLA3
1-phosphatidylinositol-3-kinase activity,GO:0016303,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,sodium arsenite,0,
1-phosphatidylinositol 4-kinase activity,GO:0004430,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,Quercetin,0,
1-phosphatidylinositol binding,GO:0005545,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,SCARB1
1-pyrroline-5-carboxylate dehydrogenase activity,GO:0003842,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ALDH4A1
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,2,FTO|TNFRSF1B
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,sodium arsenite,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,Non-alcoholic Fatty Liver Disease,MESH:D065626,4,mancozeb|sodium arsenite|Taurine|Tetrachlorodibenzodioxin,0,
3-chloroallyl aldehyde dehydrogenase activity,GO:0004028,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ALDH1A1
3-deoxyglucosone dehydrogenase activity,GO:0106373,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ALDH1A1
3-hydroxybutyrate dehydrogenase activity,GO:0003858,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,Arsenic Trioxide,0,
3-phosphoinositide-dependent protein kinase activity,GO:0004676,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,EIF2AK1
4-nitrophenol 2-monooxygenase activity,GO:0018601,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,CYP2E1
5'-nucleotidase activity,GO:0008253,Non-alcoholic Fatty Liver Disease,MESH:D065626,8,Benzo(a)pyrene|bisphenol A|Cadmium Chloride|Fructose|geraniol|Silymarin|sodium arsenite|Streptozocin,0,
ABC-type glutathione S-conjugate transporter activity,GO:0015431,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ABCC2
ABC-type oligopeptide transporter activity,GO:0015421,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ABCB4
ABC-type protein transporter activity,GO:0015462,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ABCB4
ABC-type transporter activity,GO:0140359,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,Dietary Fats,2,ABCB4|ABCC2
ABC-type xenobiotic transporter activity,GO:0008559,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ABCC2
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,KLB
acetylcholine receptor binding,GO:0033130,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,JAK2
acetylcholinesterase activity,GO:0003990,Non-alcoholic Fatty Liver Disease,MESH:D065626,3,bisphenol A|Plant Extracts|Quercetin,1,ACE
acetyl-CoA carboxylase activity,GO:0003989,Non-alcoholic Fatty Liver Disease,MESH:D065626,7,"5-(3-methoxy-5-(4-methoxystyryl)phenoxy)-2,2-dimethylpentanoic acid|Bile Acids and Salts|bisphenol A|Dietary Fats|Glucose|Niacinamide|Resveratrol",0,
[acetyl-CoA carboxylase] kinase activity,GO:0050405,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,Ethanol,0,
