GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
1-phosphatidylinositol-3-kinase activity,GO:0016303,Heart Diseases,MESH:D006331,1,sodium arsenite,0,
"2 iron, 2 sulfur cluster binding",GO:0051537,Heart Diseases,MESH:D006331,0,,1,XDH
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,Heart Diseases,MESH:D006331,1,Curcumin,0,
3'-5'-exodeoxyribonuclease activity,GO:0008296,Heart Diseases,MESH:D006331,0,,1,APEX1
3'-5' exonuclease activity,GO:0008408,Heart Diseases,MESH:D006331,0,,1,APEX1
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Heart Diseases,MESH:D006331,4,Curcumin|Indomethacin|sodium arsenite|Vanadium,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Pulmonary Heart Disease,MESH:D011660,1,Indomethacin,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,Heart Diseases,MESH:D006331,3,coenzyme Q10|sodium arsenite|Taurine,0,
3-hydroxyacyl-CoA dehydrogenase activity,GO:0003857,Heart Diseases,MESH:D006331,0,,1,HADHB
3-hydroxybutyrate dehydrogenase activity,GO:0003858,Heart Diseases,MESH:D006331,1,Arsenic Trioxide,0,
5-aminolevulinate synthase activity,GO:0003870,Heart Diseases,MESH:D006331,1,Trichloroethylene,0,
5'-nucleotidase activity,GO:0008253,Heart Diseases,MESH:D006331,8,Benzo(a)pyrene|bisphenol A|Cadmium Chloride|Fructose|Metformin|Silymarin|sodium arsenite|Streptozocin,0,
"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity",GO:0034039,Heart Diseases,MESH:D006331,0,,1,OGG1
ABC-type glutathione S-conjugate transporter activity,GO:0015431,Heart Diseases,MESH:D006331,0,,2,ABCC1|ABCC2
ABC-type transporter activity,GO:0140359,Heart Diseases,MESH:D006331,1,Dietary Fats,2,ABCC1|ABCC2
ABC-type vitamin B12 transporter activity,GO:0015420,Heart Diseases,MESH:D006331,0,,1,ABCC1
ABC-type xenobiotic transporter activity,GO:0008559,Heart Diseases,MESH:D006331,1,Verapamil,3,ABCB1A|ABCC1|ABCC2
acetylcholinesterase activity,GO:0003990,Heart Diseases,MESH:D006331,16,"Acrylamide|bisphenol A|coenzyme Q10|Ellagic Acid|epigallocatechin gallate|Flavonoids|Grape Seed Proanthocyanidins|Melatonin|Metals, Heavy|Particulate Matter|Pesticides|Plant Extracts|Selenium|Sodium Selenite|Vehicle Emissions|vinpocetine",0,
acetyl-CoA C-acetyltransferase activity,GO:0003985,Heart Diseases,MESH:D006331,0,,1,HADHB
acetyl-CoA C-acyltransferase activity,GO:0003988,Heart Diseases,MESH:D006331,0,,1,HADHB
acetyl-CoA carboxylase activity,GO:0003989,Heart Diseases,MESH:D006331,3,bisphenol A|Dietary Fats|Resveratrol,0,
[acetyl-CoA carboxylase] kinase activity,GO:0050405,Heart Diseases,MESH:D006331,2,Ethanol|Lipopolysaccharides,0,
acetyl-CoA C-myristoyltransferase activity,GO:0050633,Heart Diseases,MESH:D006331,0,,1,HADHB
acid phosphatase activity,GO:0003993,Heart Diseases,MESH:D006331,20,Arsenic|Arsenic Trioxide|Benzo(a)pyrene|bisphenol A|Cadmium|Cadmium Chloride|Cisplatin|Curcumin|Cyclosporine|Flavonoids|Gallic Acid|Grape Seed Proanthocyanidins|iprodione|Iron|manganese chloride|Plant Extracts|Resveratrol|S-allylcysteine|sodium arsenite|Streptozocin,0,
aconitate hydratase activity,GO:0003994,Heart Diseases,MESH:D006331,6,bisphenol A|Dietary Fats|Hydrogen Peroxide|Paraquat|Streptozocin|Zinc,0,
actin binding,GO:0003779,Heart Diseases,MESH:D006331,0,,2,TNNI3|TNNT2
actin filament binding,GO:0051015,Heart Diseases,MESH:D006331,0,,1,TNNI3
actinin binding,GO:0042805,Heart Diseases,MESH:D006331,0,,1,CRP
acylglycerol O-acyltransferase activity,GO:0016411,Heart Diseases,MESH:D006331,0,,1,PNPLA2
acyl-L-homoserine-lactone lactonohydrolase activity,GO:0102007,Heart Diseases,MESH:D006331,0,,1,PON1
acylphosphatase activity,GO:0003998,Heart Diseases,MESH:D006331,1,Glutathione,0,
acyltransferase activity,GO:0016746,Heart Diseases,MESH:D006331,0,,1,HADHB
"acyltransferase activity, transferring groups other than amino-acyl groups",GO:0016747,Heart Diseases,MESH:D006331,0,,1,HADHB
adenosine deaminase activity,GO:0004000,Heart Diseases,MESH:D006331,2,Allopurinol|Zinc,0,
adenylate cyclase activity,GO:0004016,Heart Diseases,MESH:D006331,2,Cadmium Chloride|sodium arsenite,0,
ADP phosphatase activity,GO:0043262,Heart Diseases,MESH:D006331,2,bisphenol A|Caffeine,0,
adrenergic receptor activity,GO:0004935,Heart Diseases,MESH:D006331,1,Dexamethasone,1,ADRA2A
alcohol dehydrogenase (NAD+) activity,GO:0004022,Heart Diseases,MESH:D006331,1,Curcumin,0,
aldehyde dehydrogenase (NAD+) activity,GO:0004029,Heart Diseases,MESH:D006331,1,Disulfiram,0,
aldehyde dehydrogenase [NAD(P)+] activity,GO:0004030,Heart Diseases,MESH:D006331,3,Acetaldehyde|Ethanol|Plant Extracts,0,
alditol:NADP+ 1-oxidoreductase activity,GO:0004032,Heart Diseases,MESH:D006331,4,Losartan|Metformin|Streptozocin|Valproic Acid,0,
