GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
16-hydroxypalmitate dehydrogenase activity,GO:0103002,"Hepatitis, Animal",MESH:D006520,0,,1,CYP4A14
17-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0072582,"Hepatitis, Animal",MESH:D006520,1,Linoleic Acid,0,
17-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0072582,Hepatitis C,MESH:D006526,1,Linoleic Acid,0,
"1,8-cineole 2-exo-monooxygenase activity",GO:0102320,Hepatitis C,MESH:D006526,0,,1,CYP3A4
"1-alpha,25-dihydroxyvitamin D3 23-hydroxylase activity",GO:0062181,Hepatitis C,MESH:D006526,0,,1,CYP3A4
1-phosphatidylinositol binding,GO:0005545,Hepatitis C,MESH:D006526,0,,1,SCARB1
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,"Hepatitis, Autoimmune",MESH:D019693,1,Indomethacin,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Hepatitis B,MESH:D006509,1,Indomethacin,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,"Hepatitis C, Chronic",MESH:D019698,1,Indomethacin,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,Hepatitis,MESH:D006505,2,cypermethrin|Propylthiouracil,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,"Hepatitis, Chronic",MESH:D006521,2,Chlorpromazine|Propylthiouracil,0,
5-aminolevulinate synthase activity,GO:0003870,Hepatitis,MESH:D006505,2,Benzene|Trichloroethylene,0,
5-aminolevulinate synthase activity,GO:0003870,"Hepatitis, Autoimmune",MESH:D019693,1,Trichloroethylene,0,
5'-nucleotidase activity,GO:0008253,Hepatitis,MESH:D006505,3,Metformin|nimesulide|Thioacetamide,0,
ABC-type transporter activity,GO:0140359,Hepatitis,MESH:D006505,1,Dietary Fats,0,
ABC-type transporter activity,GO:0140359,"Hepatitis, Animal",MESH:D006520,1,Dietary Fats,0,
acetylation-dependent protein binding,GO:0140033,"Hepatitis, Chronic",MESH:D006521,0,,1,STAT3
acetylcholinesterase activity,GO:0003990,Hepatitis,MESH:D006505,2,Aluminum Chloride|Melatonin,0,
acetylcholinesterase activity,GO:0003990,"Hepatitis, Autoimmune",MESH:D019693,1,Melatonin,0,
acetyl-CoA carboxylase activity,GO:0003989,Hepatitis,MESH:D006505,2,Dietary Fats|Resveratrol,0,
acetyl-CoA carboxylase activity,GO:0003989,"Hepatitis, Animal",MESH:D006520,2,"5-(3-methoxy-5-(4-methoxystyryl)phenoxy)-2,2-dimethylpentanoic acid|Dietary Fats",0,
acetyl-CoA carboxylase activity,GO:0003989,Hepatitis C,MESH:D006526,1,Resveratrol,0,
[acetyl-CoA carboxylase] kinase activity,GO:0050405,Hepatitis,MESH:D006505,2,Ethanol|Lipopolysaccharides,0,
[acetyl-CoA carboxylase] kinase activity,GO:0050405,"Hepatitis, Alcoholic",MESH:D006519,2,diallyl disulfide|Ethanol,0,
acid phosphatase activity,GO:0003993,Hepatitis,MESH:D006505,3,Finasteride|Resveratrol|Sulfasalazine,0,
acid phosphatase activity,GO:0003993,"Hepatitis, Autoimmune",MESH:D019693,1,Mercuric Chloride,0,
acid phosphatase activity,GO:0003993,"Hepatitis B, Chronic",MESH:D019694,1,Cyclosporine,0,
acid phosphatase activity,GO:0003993,Hepatitis C,MESH:D006526,2,Cyclosporine|Resveratrol,0,
acid phosphatase activity,GO:0003993,"Hepatitis, Viral, Human",MESH:D006525,1,Iron,0,
aconitate hydratase activity,GO:0003994,Hepatitis,MESH:D006505,1,Dietary Fats,0,
aconitate hydratase activity,GO:0003994,"Hepatitis, Animal",MESH:D006520,1,Dietary Fats,0,
actin binding,GO:0003779,Hepatitis C,MESH:D006526,0,,1,CCR5
