GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity,GO:0003845,Hypertension,MESH:D006973,0,,1,HSD11B2
(1->3)-beta-D-glucan binding,GO:0001872,Hypertension,MESH:D006973,0,,1,OLR1
14-3-3 protein binding,GO:0071889,Hypertension,MESH:D006973,0,,1,TP53
14-3-3 protein binding,GO:0071889,"Hypertension, Pulmonary",MESH:D006976,0,,1,NFATC2
"17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity",GO:0047006,"Hypertension, Malignant",MESH:D006974,0,,1,CYP17A1
17-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0072582,Hypertension,MESH:D006973,2,Eicosapentaenoic Acid|Tetrachlorodibenzodioxin,0,
1-phosphatidylinositol-3-kinase activity,GO:0016303,Hypertension,MESH:D006973,1,sodium arsenite,0,
1-phosphatidylinositol 4-kinase activity,GO:0004430,Hypertension,MESH:D006973,1,Quercetin,0,
1-phosphatidylinositol 4-kinase activity,GO:0004430,"Hypertension, Pulmonary",MESH:D006976,1,Quercetin,0,
20-aldehyde-leukotriene B4 20-monooxygenase activity,GO:0097259,Hypertension,MESH:D006973,0,,1,CYP4F2
20-hydroxy-leukotriene B4 omega oxidase activity,GO:0097258,Hypertension,MESH:D006973,0,,1,CYP4F2
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,Hypertension,MESH:D006973,0,,2,GCH1|SLC6A18
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,Brachydactyly with hypertension,MESH:C537095,0,,1,PDE3A
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,Essential Hypertension,MESH:D000075222,1,Curcumin,0,
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,Hypertension,MESH:D006973,1,Curcumin,0,
"3',5'-cyclic-GMP phosphodiesterase activity",GO:0047555,Brachydactyly with hypertension,MESH:C537095,0,,1,PDE3A
"3',5'-cyclic-nucleotide phosphodiesterase activity",GO:0004114,Brachydactyly with hypertension,MESH:C537095,0,,1,PDE3A
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Essential Hypertension,MESH:D000075222,1,Curcumin,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Hypertension,MESH:D006973,4,Curcumin|Indomethacin|sodium arsenite|Testosterone Propionate,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,"Hypertension, Portal",MESH:D006975,1,Flurbiprofen,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,"Hypertension, Pulmonary",MESH:D006976,1,Indomethacin,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,"Hypertension, Renal",MESH:D006977,1,Indomethacin,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Intracranial Hypertension,MESH:D019586,1,Indomethacin,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,Hypertension,MESH:D006973,6,Chlorpromazine|lead acetate|Propylthiouracil|sodium arsenite|Taurine|Tetrachlorodibenzodioxin,0,
3-hydroxybutyrate dehydrogenase activity,GO:0003858,"Hypertension, Pulmonary",MESH:D006976,1,Copper Sulfate,0,
3-phosphoinositide-dependent protein kinase activity,GO:0004676,Hypertension,MESH:D006973,0,,9,GSK3B|IKBKB|MTOR|OXSR1|RPS6KB1|STK11|STK39|WNK1|WNK4
3-phosphoinositide-dependent protein kinase activity,GO:0004676,"Hypertension, Pulmonary",MESH:D006976,0,,1,EIF2AK4
5-aminolevulinate synthase activity,GO:0003870,Hypertension,MESH:D006973,1,Benzene,0,
5'-nucleotidase activity,GO:0008253,Hypertension,MESH:D006973,12,Benzo(a)pyrene|bisphenol A|Cadmium Chloride|Fructose|geraniol|Metformin|naringin|NG-Nitroarginine Methyl Ester|nimesulide|sodium arsenite|Streptozocin|thymoquinone,0,
5'-nucleotidase activity,GO:0008253,"Hypertension, Portal",MESH:D006975,1,Thioacetamide,0,
5'-nucleotidase activity,GO:0008253,"Hypertension, Pregnancy-Induced",MESH:D046110,1,bisphenol A,0,
5'-nucleotidase activity,GO:0008253,"Hypertension, Pulmonary",MESH:D006976,1,nimesulide,0,
5'-nucleotidase activity,GO:0008253,Ocular Hypertension,MESH:D009798,1,NG-Nitroarginine Methyl Ester,0,
5S rRNA binding,GO:0008097,Essential Hypertension,MESH:D000075222,0,,1,HMGB1
5S rRNA binding,GO:0008097,Hypertension,MESH:D006973,0,,1,HMGB1
6-phosphofructo-2-kinase activity,GO:0003873,Hypertension,MESH:D006973,1,Lithium Carbonate,0,
6-phosphofructokinase activity,GO:0003872,Hypertension,MESH:D006973,2,Lead|lead acetate,0,
6-phosphofructokinase activity,GO:0003872,"Hypertension, Pregnancy-Induced",MESH:D046110,1,Lead,0,
7-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0047022,Hypertension,MESH:D006973,0,,1,HSD11B1
"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity",GO:0034039,Hypertension,MESH:D006973,0,,1,RPS6KB1
ABC-type glutathione S-conjugate transporter activity,GO:0015431,Hypertension,MESH:D006973,0,,2,ABCC1|RALBP1
ABC-type transporter activity,GO:0140359,Hypertension,MESH:D006973,1,Dietary Fats,1,ABCC1
ABC-type transporter activity,GO:0140359,"Hypertension, Pulmonary",MESH:D006976,0,,1,ABCA3
ABC-type vitamin B12 transporter activity,GO:0015420,Hypertension,MESH:D006973,0,,1,ABCC1
ABC-type xenobiotic transporter activity,GO:0008559,Hypertension,MESH:D006973,2,Endosulfan|Verapamil,2,ABCC1|RALBP1
ABC-type xenobiotic transporter activity,GO:0008559,"Hypertension, Pulmonary",MESH:D006976,0,,1,ABCA3
ABC-type xenobiotic transporter activity,GO:0008559,"Hypertension, Renal",MESH:D006977,1,Verapamil,0,
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,Hypertension,MESH:D006973,1,Nicotine,0,
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,"Hypertension, Pulmonary",MESH:D006976,1,Nicotine,0,
acetylcholinesterase activity,GO:0003990,Hypertension,MESH:D006973,19,"Acetylcholine|Ascorbic Acid|barium chloride|bisphenol A|Diethylhexyl Phthalate|epigallocatechin gallate|Flavonoids|Hexachlorocyclohexane|Melatonin|Metals, Heavy|Neostigmine|Particulate Matter|Plant Extracts|Quercetin|Reserpine|Rotenone|Scopolamine|Sodium Fluoride|Vehicle Emissions",2,ACE|ACE2
acetylcholinesterase activity,GO:0003990,"Hypertension, Pregnancy-Induced",MESH:D046110,2,bisphenol A|Pesticides,0,
acetylcholinesterase activity,GO:0003990,"Hypertension, Pulmonary",MESH:D006976,2,epigallocatechin gallate|Quercetin,2,ACE|ACE2
acetylcholinesterase activity,GO:0003990,"Hypertension, Renal",MESH:D006977,1,Ascorbic Acid,0,
acetylcholinesterase activity,GO:0003990,Intracranial Hypertension,MESH:D019586,1,Tretinoin,0,
acetylcholinesterase activity,GO:0003990,Ocular Hypertension,MESH:D009798,1,Plant Extracts,0,
acetylcholinesterase activity,GO:0003990,Pulmonary Arterial Hypertension,MESH:D000081029,1,Particulate Matter,0,
acetyl-CoA carboxylase activity,GO:0003989,Hypertension,MESH:D006973,6,bisphenol A|Dietary Fats|ferulic acid|Glucose|Niacinamide|Resveratrol,0,
acetyl-CoA carboxylase activity,GO:0003989,"Hypertension, Pregnancy-Induced",MESH:D046110,1,bisphenol A,0,
acetyl-CoA carboxylase activity,GO:0003989,"Hypertension, Pulmonary",MESH:D006976,1,Resveratrol,0,
acetyl-CoA carboxylase activity,GO:0003989,Intracranial Hypertension,MESH:D019586,1,Glucose,0,
[acetyl-CoA carboxylase] kinase activity,GO:0050405,Hypertension,MESH:D006973,2,Ethanol|Lipopolysaccharides,0,
acid phosphatase activity,GO:0003993,Essential Hypertension,MESH:D000075222,1,Curcumin,0,
acid phosphatase activity,GO:0003993,Hypertension,MESH:D006973,23,alpha-Tocopherol|Arsenic|Ascorbic Acid|Benzo(a)pyrene|bisphenol A|Cadmium|Cadmium Chloride|Cisplatin|Curcumin|Cyclosporine|Diethylhexyl Phthalate|Flavonoids|Folic Acid|Lead|lead acetate|Plant Extracts|Polycyclic Aromatic Hydrocarbons|Quercetin|Resveratrol|sodium arsenite|Streptozocin|Tetrachlorodibenzodioxin|thymoquinone,0,
acid phosphatase activity,GO:0003993,"Hypertension, Pregnancy-Induced",MESH:D046110,3,Arsenic|bisphenol A|Lead,0,
acid phosphatase activity,GO:0003993,"Hypertension, Pulmonary",MESH:D006976,3,Copper Sulfate|Quercetin|Resveratrol,0,
acid phosphatase activity,GO:0003993,"Hypertension, Renal",MESH:D006977,2,Ascorbic Acid|Cyclosporine,0,
acid phosphatase activity,GO:0003993,"Hypertension, Renovascular",MESH:D006978,1,Cisplatin,0,
acid phosphatase activity,GO:0003993,Idiopathic intracranial hypertension with papilledema,MESH:C531795,1,Sulfasalazine,0,
acid phosphatase activity,GO:0003993,Ocular Hypertension,MESH:D009798,1,Plant Extracts,0,
aconitate hydratase activity,GO:0003994,Hypertension,MESH:D006973,5,bisphenol A|Dietary Fats|Selegiline|Streptozocin|Zinc,0,
aconitate hydratase activity,GO:0003994,"Hypertension, Portal",MESH:D006975,1,Zinc,0,
aconitate hydratase activity,GO:0003994,"Hypertension, Pregnancy-Induced",MESH:D046110,1,bisphenol A,0,
aconitate hydratase activity,GO:0003994,"Hypertension, Pulmonary",MESH:D006976,1,Paraquat,0,
actin binding,GO:0003779,Essential Hypertension,MESH:D000075222,0,,2,ADD1|NOS3
actin binding,GO:0003779,Hypertension,MESH:D006973,0,,11,ACE|ADD1|INPPL1|MYH7|NOS2|NOS3|PTPN1|SCNN1A|SLC6A2|TPM1|TRPC5
actin binding,GO:0003779,"Hypertension, Portal",MESH:D006975,0,,1,NOS3
actin binding,GO:0003779,"Hypertension, Pregnancy-Induced",MESH:D046110,0,,1,NOS3
actin binding,GO:0003779,"Hypertension, Pulmonary",MESH:D006976,0,,3,ACE|KCNMA1|NOS3
actin binding,GO:0003779,"Hypertension, Renal",MESH:D006977,0,,1,MYH9
actin binding,GO:0003779,"Hypertension, Renovascular",MESH:D006978,0,,1,NOS3
actin filament binding,GO:0051015,Essential Hypertension,MESH:D000075222,0,,2,ADD1|AIF1
actin filament binding,GO:0051015,Hypertension,MESH:D006973,1,Histamine,4,ADD1|AIF1|MYH7|TPM1
actin filament binding,GO:0051015,"Hypertension, Portal",MESH:D006975,1,Histamine,0,
