GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,"Hypoxia, Brain",MESH:D002534,0,,1,ITPR2
3'-5' DNA helicase activity,GO:0043138,Hypoxia,MESH:D000860,0,,1,HIM-6
3'-5' exonuclease activity,GO:0008408,Hypoxia,MESH:D000860,0,,1,NME1
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Hypoxia,MESH:D000860,1,Indomethacin,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,Hypoxia,MESH:D000860,3,Chlorpromazine|Propylthiouracil|Taurine,0,
3-hydroxybutyrate dehydrogenase activity,GO:0003858,Hypoxia,MESH:D000860,2,Arsenic Trioxide|Copper Sulfate,0,
3-phosphoinositide-dependent protein kinase activity,GO:0004676,"Hypoxia-Ischemia, Brain",MESH:D020925,0,,2,IRAK1|IRAK4
ABC-type transporter activity,GO:0140359,Hypoxia,MESH:D000860,1,Dietary Fats,0,
ABC-type xenobiotic transporter activity,GO:0008559,Hypoxia,MESH:D000860,1,Verapamil,0,
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,Hypoxia,MESH:D000860,1,Nicotine,0,
acetylcholinesterase activity,GO:0003990,"Hypoxia, Brain",MESH:D002534,1,Plant Extracts,0,
acetyl-CoA carboxylase activity,GO:0003989,Hypoxia,MESH:D000860,3,Dietary Fats|Glucose|Resveratrol,0,
[acetyl-CoA carboxylase] kinase activity,GO:0050405,Hypoxia,MESH:D000860,1,Lipopolysaccharides,0,
[acetyl-CoA carboxylase] kinase activity,GO:0050405,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Lipopolysaccharides,0,
acid phosphatase activity,GO:0003993,Hypoxia,MESH:D000860,4,Arsenic Trioxide|Copper Sulfate|Gallic Acid|Resveratrol,0,
acid phosphatase activity,GO:0003993,"Hypoxia, Brain",MESH:D002534,1,Plant Extracts,0,
aconitate hydratase activity,GO:0003994,Hypoxia,MESH:D000860,2,Dietary Fats|Hydrogen Peroxide,0,
actin binding,GO:0003779,Hypoxia,MESH:D000860,0,,1,NOS3
actin binding,GO:0003779,"Hypoxia-Ischemia, Brain",MESH:D020925,0,,1,NOS2
actin monomer binding,GO:0003785,Hypoxia,MESH:D000860,0,,1,NOS3
active monoatomic ion transmembrane transporter activity,GO:0022853,Hypoxia,MESH:D000860,1,Nicotine,0,
acyl-CoA dehydrogenase activity,GO:0003995,Hypoxia,MESH:D000860,0,,1,ACADVL
"acyltransferase activity, acyl groups converted into alkyl on transfer",GO:0046912,Hypoxia,MESH:D000860,0,,1,CS
adenosine deaminase activity,GO:0004000,Hypoxia,MESH:D000860,1,Allopurinol,0,
adenosine kinase activity,GO:0004001,Hypoxia,MESH:D000860,1,Oxygen,1,ADK
adenosine kinase activity,GO:0004001,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Oxygen,0,
adenosylhomocysteinase activity,GO:0004013,Hypoxia,MESH:D000860,0,,1,AHCY
adenosylselenohomocysteinase activity,GO:0098604,Hypoxia,MESH:D000860,0,,1,AHCY
adenylate cyclase activator activity,GO:0010856,Hypoxia,MESH:D000860,0,,1,GNAS
adenylate cyclase regulator activity,GO:0010854,Hypoxia,MESH:D000860,0,,1,GNAS
adenylate kinase activity,GO:0004017,Hypoxia,MESH:D000860,1,Mustard Gas,0,
adenyl nucleotide binding,GO:0030554,Hypoxia,MESH:D000860,0,,1,AHCY
ADP binding,GO:0043531,Hypoxia,MESH:D000860,0,,1,ATP5F1B
adrenergic receptor activity,GO:0004935,Hypoxia,MESH:D000860,1,Nicotine,0,
adrenergic receptor activity,GO:0004935,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Dexamethasone,0,
aldehyde dehydrogenase (NAD+) activity,GO:0004029,Hypoxia,MESH:D000860,0,,1,ALDH1L1
aldehyde dehydrogenase (NADP+) activity,GO:0033721,Hypoxia,MESH:D000860,0,,1,ALDH1L1
aldehyde dehydrogenase [NAD(P)+] activity,GO:0004030,Hypoxia,MESH:D000860,0,,1,ALDH1L1
aldehyde dehydrogenase [NAD(P)+] activity,GO:0004030,"Hypoxia, Brain",MESH:D002534,1,Plant Extracts,0,
alkaline phosphatase activity,GO:0004035,Hypoxia,MESH:D000860,17,Acetaminophen|Allopurinol|Arsenic Trioxide|Chloroquine|Dietary Fats|Fluorouracil|Gallic Acid|Glucose|Hydrogen Peroxide|Lipopolysaccharides|Nicotine|Nitroprusside|Phenobarbital|Resveratrol|Taurine|Vitamin E|Zinc Sulfate,0,
alkaline phosphatase activity,GO:0004035,"Hypoxia, Brain",MESH:D002534,2,Edaravone|Plant Extracts,0,
alkaline phosphatase activity,GO:0004035,"Hypoxia-Ischemia, Brain",MESH:D020925,2,Dexamethasone|Lipopolysaccharides,0,
alkane 1-monooxygenase activity,GO:0018685,Hypoxia,MESH:D000860,1,Phenobarbital,0,
alkylglycerophosphoethanolamine phosphodiesterase activity,GO:0047391,Hypoxia,MESH:D000860,0,,1,GNAS
alpha-amylase activity,GO:0004556,Hypoxia,MESH:D000860,2,Phenylephrine|Resveratrol,0,
alpha-amylase activity,GO:0004556,"Hypoxia, Brain",MESH:D002534,1,Phenylephrine,0,
alpha-amylase activity,GO:0004556,"Hypoxia-Ischemia, Brain",MESH:D020925,1,caffeic acid phenethyl ester,0,
alpha-tubulin binding,GO:0043014,Hypoxia,MESH:D000860,0,,1,GNAS
aminopeptidase activity,GO:0004177,Hypoxia,MESH:D000860,2,Glucose|Hydrogen Peroxide,0,
AMP-activated protein kinase activity,GO:0004679,Hypoxia,MESH:D000860,9,Arsenic Trioxide|Bleomycin|Dietary Fats|Glucose|Hydrogen Peroxide|Lipopolysaccharides|Nicotine|Oxygen|Resveratrol,0,
AMP-activated protein kinase activity,GO:0004679,"Hypoxia-Ischemia, Brain",MESH:D020925,2,Lipopolysaccharides|Oxygen,2,IRAK1|IRAK4
amylase activity,GO:0016160,Hypoxia,MESH:D000860,1,Lipopolysaccharides,0,
amylase activity,GO:0016160,"Hypoxia-Ischemia, Brain",MESH:D020925,2,Dexamethasone|Lipopolysaccharides,0,
amyloid-beta binding,GO:0001540,Hypoxia,MESH:D000860,0,,1,APOA1
angiostatin binding,GO:0043532,Hypoxia,MESH:D000860,0,,1,ATP5F1B
antioxidant activity,GO:0016209,Hypoxia,MESH:D000860,4,"6-hydroxy-2,5,7,8-tetramethylchroman-2-carboxylic acid|Arsenic Trioxide|Dietary Fats|Isoproterenol",1,SOD2
apolipoprotein A-I receptor binding,GO:0034191,Hypoxia,MESH:D000860,0,,1,APOA1
apolipoprotein receptor binding,GO:0034190,Hypoxia,MESH:D000860,0,,1,APOA1
arginase activity,GO:0004053,Hypoxia,MESH:D000860,2,Oxygen|Zinc Sulfate,0,
arginase activity,GO:0004053,"Hypoxia, Brain",MESH:D002534,1,Edaravone,0,
arginase activity,GO:0004053,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Oxygen,0,
arginine binding,GO:0034618,Hypoxia,MESH:D000860,0,,2,NOS1|NOS3
arginine binding,GO:0034618,"Hypoxia-Ischemia, Brain",MESH:D020925,0,,1,NOS2
arylesterase activity,GO:0004064,Hypoxia,MESH:D000860,1,Copper Sulfate,0,
aryl sulfotransferase activity,GO:0004062,Hypoxia,MESH:D000860,1,Acetaminophen,0,
aspartic-type endopeptidase activity,GO:0004190,Hypoxia,MESH:D000860,0,,1,CPA2
aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process,GO:1902944,Hypoxia,MESH:D000860,1,Nicotine,0,
aspartic-type endopeptidase inhibitor activity,GO:0019828,Hypoxia,MESH:D000860,0,,1,GAPDH
ATPase binding,GO:0051117,Hypoxia,MESH:D000860,0,,2,ALDOB|NOS1
ATPase-coupled intramembrane lipid transporter activity,GO:0140326,Hypoxia,MESH:D000860,2,Chlorpromazine|Taurine,0,
ATP binding,GO:0005524,Hypoxia,MESH:D000860,0,,8,ACTB|ADK|ATP5F1B|CA9|DAF-2|HIM-6|HSP70|NME1
