GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
3'-5' exonuclease activity,GO:0008408,Diffuse Cerebral Sclerosis of Schilder,MESH:D002549,0,,1,POLG
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,Child Behavior Disorders,MESH:D002653,1,Chlorpromazine,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,1,lead acetate,0,
5'-deoxyribose-5-phosphate lyase activity,GO:0051575,Diffuse Cerebral Sclerosis of Schilder,MESH:D002549,0,,1,POLG
5'-nucleotidase activity,GO:0008253,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
6-phosphofructo-2-kinase activity,GO:0003873,Child Behavior Disorders,MESH:D002653,1,Lithium Carbonate,0,
6-phosphofructokinase activity,GO:0003872,Child Behavior Disorders,MESH:D002653,1,Lead,0,
6-phosphofructokinase activity,GO:0003872,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,2,Lead|lead acetate,0,
acetylcholinesterase activity,GO:0003990,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
acetylcholinesterase activity,GO:0003990,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,1,Ascorbic Acid,0,
acetyl-CoA carboxylase activity,GO:0003989,Child Behavior Disorders,MESH:D002653,2,bisphenol A|Niacinamide,0,
acid phosphatase activity,GO:0003993,Child Behavior Disorders,MESH:D002653,2,bisphenol A|Lead,0,
acid phosphatase activity,GO:0003993,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,3,Ascorbic Acid|Lead|lead acetate,0,
aconitate hydratase activity,GO:0003994,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
actin binding,GO:0003779,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,MRTFB
ADP phosphatase activity,GO:0043262,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
ADP phosphatase activity,GO:0043262,"Hypophosphatasia, Childhood",MESH:C562440,0,,1,ALPL
alditol:NADP+ 1-oxidoreductase activity,GO:0004032,Child Behavior Disorders,MESH:D002653,1,Valproic Acid,0,
alditol:NADP+ 1-oxidoreductase activity,GO:0004032,"Child Development Disorders, Pervasive",MESH:D002659,1,Valproic Acid,0,
alkaline phosphatase activity,GO:0004035,Child Behavior Disorders,MESH:D002653,7,bisphenol A|Isoniazid|Lead|Niacinamide|Phenobarbital|Prednisolone|Valproic Acid,0,
alkaline phosphatase activity,GO:0004035,"Child Development Disorders, Pervasive",MESH:D002659,2,Methionine|Valproic Acid,0,
alkaline phosphatase activity,GO:0004035,Child Nutrition Disorders,MESH:D015362,2,Cholecalciferol|Vitamin A,0,
alkaline phosphatase activity,GO:0004035,"Hypophosphatasia, Childhood",MESH:C562440,0,,1,ALPL
alkaline phosphatase activity,GO:0004035,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,3,Ascorbic Acid|Lead|lead acetate,0,
alkane 1-monooxygenase activity,GO:0018685,Child Behavior Disorders,MESH:D002653,1,Phenobarbital,0,
AMP-activated protein kinase activity,GO:0004679,Child Behavior Disorders,MESH:D002653,2,bisphenol A|Niacinamide,0,
amyloid-beta binding,GO:0001540,Alternating hemiplegia of childhood,MESH:C536589,0,,1,ATP1A3
antioxidant activity,GO:0016209,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
antioxidant activity,GO:0016209,Child Nutrition Disorders,MESH:D015362,1,Thiamine,0,
antioxidant activity,GO:0016209,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,2,Ascorbic Acid|lead acetate,0,
arginase activity,GO:0004053,Child Behavior Disorders,MESH:D002653,3,bisphenol A|Haloperidol|Valproic Acid,0,
arginase activity,GO:0004053,"Child Development Disorders, Pervasive",MESH:D002659,1,Valproic Acid,0,
aryldialkylphosphatase activity,GO:0004063,Child Behavior Disorders,MESH:D002653,1,Valproic Acid,0,
aryldialkylphosphatase activity,GO:0004063,"Child Development Disorders, Pervasive",MESH:D002659,1,Valproic Acid,0,
ATPase-coupled intramembrane lipid transporter activity,GO:0140326,Child Behavior Disorders,MESH:D002653,1,Chlorpromazine,0,
ATPase-coupled monoatomic cation transmembrane transporter activity,GO:0019829,Alternating hemiplegia of childhood,MESH:C536589,0,,1,ATP1A2
ATP binding,GO:0005524,Alternating hemiplegia of childhood,MESH:C536589,0,,2,ATP1A2|ATP1A3
ATP binding,GO:0005524,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,1,DYNC1H1
ATP-dependent activity,GO:0140657,Child Behavior Disorders,MESH:D002653,3,bisphenol A|Haloperidol|Lead,0,
ATP-dependent activity,GO:0140657,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,2,Lead|lead acetate,0,
ATP hydrolysis activity,GO:0016887,Alternating hemiplegia of childhood,MESH:C536589,0,,2,ATP1A2|ATP1A3
ATP hydrolysis activity,GO:0016887,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
ATP hydrolysis activity,GO:0016887,"Hypophosphatasia, Childhood",MESH:C562440,0,,1,ALPL
ATP hydrolysis activity,GO:0016887,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,1,DYNC1H1
beta2-adrenergic receptor activity,GO:0004941,"CHOREA, CHILDHOOD-ONSET, WITH PSYCHOMOTOR RETARDATION",OMIM:616939,0,,1,GPR88
beta-glucosidase activity,GO:0008422,"Hypercalciuria, childhood idiopathic",MESH:C536082,0,,1,KL
beta-glucuronidase activity,GO:0004566,"Hypercalciuria, childhood idiopathic",MESH:C536082,0,,1,KL
cADPR-sensitive calcium-release channel activity,GO:0072346,Child Behavior Disorders,MESH:D002653,1,Lead,0,
cADPR-sensitive calcium-release channel activity,GO:0072346,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,1,Lead,0,
calcium-dependent ATPase activity,GO:0030899,Child Behavior Disorders,MESH:D002653,1,Chlorpromazine,0,
calcium-dependent cysteine-type endopeptidase activity,GO:0004198,Child Behavior Disorders,MESH:D002653,1,methylmercuric chloride,0,
calcium-dependent phospholipase A2 activity,GO:0047498,Child Nutrition Disorders,MESH:D015362,1,Vitamin A,0,
calcium ion binding,GO:0005509,Alternating hemiplegia of childhood,MESH:C536589,0,,1,ATP1A2
calcium ion binding,GO:0005509,"Hypophosphatasia, Childhood",MESH:C562440,0,,1,ALPL
calmodulin-dependent protein kinase activity,GO:0004683,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,1,Ascorbic Acid,0,
calmodulin-dependent protein phosphatase activity,GO:0033192,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
carbonate dehydratase activity,GO:0004089,Child Behavior Disorders,MESH:D002653,1,Valproic Acid,0,
carbonate dehydratase activity,GO:0004089,"Child Development Disorders, Pervasive",MESH:D002659,1,Valproic Acid,0,
carboxylic ester hydrolase activity,GO:0052689,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,1,lead acetate,0,
carboxylic ester hydrolase activity,GO:0052689,Sick Building Syndrome,MESH:D018877,0,,1,PNPLA6
cardiolipin binding,GO:1901612,Child Behavior Disorders,MESH:D002653,1,Lead,0,
cardiolipin binding,GO:1901612,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,2,Lead|lead acetate,0,
carnitine O-octanoyltransferase activity,GO:0008458,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
carnitine O-palmitoyltransferase activity,GO:0004095,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
chaperone binding,GO:0051087,Alternating hemiplegia of childhood,MESH:C536589,0,,2,ATP1A2|ATP1A3
cholinesterase activity,GO:0004104,Child Behavior Disorders,MESH:D002653,1,Manganese,0,
chromatin binding,GO:0003682,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,MECP2
chromatin binding,GO:0003682,Diffuse Cerebral Sclerosis of Schilder,MESH:D002549,0,,1,POLG
chromatin DNA binding,GO:0031490,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,MECP2
citrate synthase activity,GO:0036440,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
creatine kinase activity,GO:0004111,Child Behavior Disorders,MESH:D002653,2,bisphenol A|Lead,0,
creatine kinase activity,GO:0004111,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,2,Ascorbic Acid|Lead,0,
cysteine-type endopeptidase activity,GO:0004197,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
cysteine-type endopeptidase activity involved in apoptotic process,GO:0097153,Child Nutrition Disorders,MESH:D015362,1,Mebendazole,0,
cysteine-type endopeptidase activity involved in apoptotic process,GO:0097153,"Hypercalciuria, childhood idiopathic",MESH:C536082,1,Ketoconazole,0,
cysteine-type peptidase activity,GO:0008234,Child Behavior Disorders,MESH:D002653,2,bisphenol A|Methylphenidate,0,
cysteine-type peptidase activity,GO:0008234,"Child Development Disorders, Pervasive",MESH:D002659,1,Methylphenidate,0,
cytochrome-c oxidase activity,GO:0004129,Child Behavior Disorders,MESH:D002653,2,bisphenol A|Lead,0,
cytochrome-c oxidase activity,GO:0004129,Child Nutrition Disorders,MESH:D015362,1,Vitamin A,0,
cytochrome-c oxidase activity,GO:0004129,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,1,Lead,0,
cytoskeletal motor activity,GO:0003774,"CHOREA, CHILDHOOD-ONSET, WITH PSYCHOMOTOR RETARDATION",OMIM:616939,0,,1,GPR88
D1 dopamine receptor binding,GO:0031748,Alternating hemiplegia of childhood,MESH:C536589,0,,1,ATP1A3
D-alanine:2-oxoglutarate aminotransferase activity,GO:0047810,Child Behavior Disorders,MESH:D002653,2,bisphenol A|Isoniazid,0,
D-glutamyltransferase activity,GO:0047823,Child Behavior Disorders,MESH:D002653,2,bisphenol A|methylmercuric chloride,0,
diamine oxidase activity,GO:0052597,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
dipeptidyl-peptidase activity,GO:0008239,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
DNA binding,GO:0003677,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,MECP2
