GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
"2',3'-cyclic GMP-AMP binding",GO:0061507,Chilblain lupus 1,MESH:C535924,0,,1,STING1
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,"Lupus Erythematosus, Systemic",MESH:D008180,0,,2,PRL|SLC15A4
3'-5'-exodeoxyribonuclease activity,GO:0008296,Chilblain lupus 1,MESH:C535924,0,,1,TREX1
3'-5'-exodeoxyribonuclease activity,GO:0008296,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,TREX1
3'-5' exonuclease activity,GO:0008408,Chilblain lupus 1,MESH:C535924,0,,1,TREX1
3'-5' exonuclease activity,GO:0008408,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,TREX1
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,"Lupus Erythematosus, Systemic",MESH:D008180,1,Indomethacin,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,"Lupus Erythematosus, Systemic",MESH:D008180,2,Chlorpromazine|Propylthiouracil,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,Lupus Nephritis,MESH:D008181,1,Propylthiouracil,0,
3-phosphoinositide-dependent protein kinase activity,GO:0004676,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,IRAK4
"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity",GO:0034039,"Lupus Erythematosus, Discoid",MESH:D008179,0,,1,OGG1
acetylcholinesterase activity,GO:0003990,"Lupus Erythematosus, Systemic",MESH:D008180,2,Melatonin|Particulate Matter,0,
acetyl-CoA carboxylase activity,GO:0003989,Lupus Nephritis,MESH:D008181,1,Niclosamide,0,
[acetyl-CoA carboxylase] kinase activity,GO:0050405,Lupus Nephritis,MESH:D008181,1,Lipopolysaccharides,0,
acid phosphatase activity,GO:0003993,"Lupus Erythematosus, Systemic",MESH:D008180,3,Estradiol|Folic Acid|Sulfasalazine,0,
actin binding,GO:0003779,"Lupus Erythematosus, Systemic",MESH:D008180,0,,2,DNASE1|PXK
actinin binding,GO:0042805,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,CRP
adenyl deoxyribonucleotide binding,GO:0032558,Chilblain lupus 1,MESH:C535924,0,,1,TREX1
adenyl deoxyribonucleotide binding,GO:0032558,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,TREX1
adrenergic receptor activity,GO:0004935,Lupus Nephritis,MESH:D008181,1,Dexamethasone,0,
alditol:NADP+ 1-oxidoreductase activity,GO:0004032,"Lupus Erythematosus, Cutaneous",MESH:D008178,1,Valproic Acid,0,
alditol:NADP+ 1-oxidoreductase activity,GO:0004032,"Lupus Erythematosus, Systemic",MESH:D008180,1,Valproic Acid,0,
alditol:NADP+ 1-oxidoreductase activity,GO:0004032,Lupus Nephritis,MESH:D008181,1,Rutin,0,
alkaline phosphatase activity,GO:0004035,"Lupus Erythematosus, Cutaneous",MESH:D008178,5,Chloroquine|Fluorouracil|Hydroxychloroquine|Prednisolone|Valproic Acid,0,
alkaline phosphatase activity,GO:0004035,"Lupus Erythematosus, Discoid",MESH:D008179,2,Chloroquine|Hydroxychloroquine,0,
alkaline phosphatase activity,GO:0004035,"Lupus Erythematosus, Systemic",MESH:D008180,14,Chloroquine|Cyclophosphamide|Diclofenac|Estradiol|Folic Acid|Homocysteine|Hydroxychloroquine|Isoniazid|Methotrexate|Prednisolone|Sulfasalazine|triptolide|Valproic Acid|Vincristine,0,
alkaline phosphatase activity,GO:0004035,Lupus Nephritis,MESH:D008181,7,Cyclophosphamide|Dexamethasone|Isoniazid|Lipopolysaccharides|Methimazole|Prednisolone|Rutin,0,
alkaline phosphatase activity,GO:0004035,"Lupus Vasculitis, Central Nervous System",MESH:D020945,1,Cyclophosphamide,0,
aminoacylase activity,GO:0004046,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,CAT
AMP-activated protein kinase activity,GO:0004679,"Lupus Erythematosus, Systemic",MESH:D008180,1,Folic Acid,1,IRAK4
AMP-activated protein kinase activity,GO:0004679,Lupus Nephritis,MESH:D008181,2,Lipopolysaccharides|Niclosamide,0,
amylase activity,GO:0016160,Lupus Nephritis,MESH:D008181,2,Dexamethasone|Lipopolysaccharides,0,
amyloid-beta binding,GO:0001540,"Lupus Erythematosus, Systemic",MESH:D008180,0,,4,C1QA|CLU|FCGR2B|ITGAM
amyloid-beta binding,GO:0001540,"Lupus Vasculitis, Central Nervous System",MESH:D020945,0,,1,ITGAM
antioxidant activity,GO:0016209,"Lupus Erythematosus, Systemic",MESH:D008180,4,Cyclophosphamide|Melatonin|Particulate Matter|Sulfasalazine,1,CAT
antioxidant activity,GO:0016209,Lupus Nephritis,MESH:D008181,2,Cyclophosphamide|Pentoxifylline,0,
antioxidant activity,GO:0016209,"Lupus Vasculitis, Central Nervous System",MESH:D020945,1,Cyclophosphamide,0,
AP-1 adaptor complex binding,GO:0035650,"Lupus Erythematosus, Systemic",MESH:D008180,1,Silicon Dioxide,0,
arginase activity,GO:0004053,"Lupus Erythematosus, Cutaneous",MESH:D008178,1,Valproic Acid,0,
arginase activity,GO:0004053,"Lupus Erythematosus, Systemic",MESH:D008180,1,Valproic Acid,0,
aryldialkylphosphatase activity,GO:0004063,"Lupus Erythematosus, Cutaneous",MESH:D008178,1,Valproic Acid,0,
aryldialkylphosphatase activity,GO:0004063,"Lupus Erythematosus, Systemic",MESH:D008180,1,Valproic Acid,0,
ATPase-coupled intramembrane lipid transporter activity,GO:0140326,"Lupus Erythematosus, Systemic",MESH:D008180,1,Chlorpromazine,0,
ATP binding,GO:0005524,"Lupus Erythematosus, Systemic",MESH:D008180,0,,7,BANK1|BLK|CSK|IFIH1|IRAK4|PXK|RASGRP3
ATP binding,GO:0005524,Lupus Nephritis,MESH:D008181,0,,1,JAK1
ATP hydrolysis activity,GO:0016887,"Lupus Erythematosus, Cutaneous",MESH:D008178,1,Chloroquine,0,
ATP hydrolysis activity,GO:0016887,"Lupus Erythematosus, Discoid",MESH:D008179,1,Chloroquine,0,
ATP hydrolysis activity,GO:0016887,"Lupus Erythematosus, Systemic",MESH:D008180,4,Chloroquine|Particulate Matter|Silicon Dioxide|triptolide,1,IFIH1
ATP hydrolysis activity,GO:0016887,Lupus Nephritis,MESH:D008181,1,Lipopolysaccharides,0,
beta-catenin binding,GO:0008013,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,TCF7
beta-galactosidase activity,GO:0004565,"Lupus Erythematosus, Systemic",MESH:D008180,2,Estradiol|Particulate Matter,0,
beta-tubulin binding,GO:0048487,"Lupus Erythematosus, Systemic",MESH:D008180,1,Vincristine,0,
butyrate-CoA ligase activity,GO:0047760,"Lupus Erythematosus, Systemic",MESH:D008180,1,Diclofenac,0,
C5L2 anaphylatoxin chemotactic receptor binding,GO:0031715,Lupus Nephritis,MESH:D008181,0,,1,C3
calcium-dependent ATPase activity,GO:0030899,"Lupus Erythematosus, Systemic",MESH:D008180,3,Aspirin|Chlorpromazine|Propylthiouracil,0,
calcium-dependent ATPase activity,GO:0030899,Lupus Nephritis,MESH:D008181,1,Propylthiouracil,0,
calcium-dependent phospholipase A2 activity,GO:0047498,Lupus Nephritis,MESH:D008181,1,Rutin,0,
calcium-dependent phospholipid binding,GO:0005544,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,ANXA3
calcium-dependent protein binding,GO:0048306,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,ANXA3
calcium-dependent protein serine/threonine phosphatase activity,GO:0004723,"Lupus Erythematosus, Systemic",MESH:D008180,1,Tacrolimus,0,
calcium-dependent protein serine/threonine phosphatase activity,GO:0004723,Lupus Nephritis,MESH:D008181,1,Tacrolimus,0,
calcium ion binding,GO:0005509,"Lupus Erythematosus, Systemic",MESH:D008180,0,,6,ANXA3|CRP|DEF6|DNASE1L3|RASGRP1|RASGRP3
calmodulin binding,GO:0005516,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,FAS
calmodulin binding,GO:0005516,Lupus Nephritis,MESH:D008181,0,,1,FAS
calmodulin-dependent protein kinase activity,GO:0004683,"Lupus Erythematosus, Systemic",MESH:D008180,1,Vincristine,0,
cAMP-dependent protein kinase activity,GO:0004691,"Lupus Erythematosus, Systemic",MESH:D008180,1,Propylthiouracil,0,
cAMP-dependent protein kinase activity,GO:0004691,Lupus Nephritis,MESH:D008181,1,Propylthiouracil,0,
carbohydrate binding,GO:0030246,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,SIGLEC6
carbonate dehydratase activity,GO:0004089,"Lupus Erythematosus, Cutaneous",MESH:D008178,1,Valproic Acid,0,
carbonate dehydratase activity,GO:0004089,"Lupus Erythematosus, Systemic",MESH:D008180,1,Valproic Acid,0,
