GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
14-3-3 protein binding,GO:0071889,Obesity,MESH:D009765,0,,2,AKT1|ESR1
"1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding",GO:0071886,Obesity,MESH:D009765,0,,2,HTR2A|HTR2C
15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity,GO:0047020,Obesity,MESH:D009765,0,,1,AKR1C3
"17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity",GO:0047006,Obesity,MESH:D009765,0,,1,AKR1C3
17-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0072582,Obesity,MESH:D009765,1,Tetrachlorodibenzodioxin,0,
17-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0072582,"Obesity, Abdominal",MESH:D056128,1,Tetrachlorodibenzodioxin,0,
1-phosphatidylinositol 4-kinase activity,GO:0004430,Obesity,MESH:D009765,1,Quercetin,0,
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,Obesity,MESH:D009765,0,,2,FTO|TNFRSF1B
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,Pediatric Obesity,MESH:D063766,0,,1,FTO
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,Obesity,MESH:D009765,2,Atrazine|Curcumin,1,ENPP1
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Obesity,MESH:D009765,1,Curcumin,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,Obesity,MESH:D009765,3,cyhalothrin|Taurine|Tetrachlorodibenzodioxin,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,"Obesity, Abdominal",MESH:D056128,1,Tetrachlorodibenzodioxin,0,
3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity,GO:0019171,Obesity,MESH:D009765,0,,1,FASN
3-hydroxyacyl-CoA dehydrogenase activity,GO:0003857,Obesity,MESH:D009765,0,,1,HADH
3-hydroxypropionyl-CoA dehydratase activity,GO:0043956,Obesity,MESH:D009765,0,,1,ECHS1
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,GO:0004316,Obesity,MESH:D009765,0,,1,FASN
3-oxoacyl-[acyl-carrier-protein] synthase activity,GO:0004315,Obesity,MESH:D009765,0,,1,FASN
3'-phosphoadenosine 5'-phosphosulfate binding,GO:0050656,Obesity,MESH:D009765,0,,1,ENPP1
3-phosphoinositide-dependent protein kinase activity,GO:0004676,Obesity,MESH:D009765,0,,1,AKT1
3-phosphoinositide-dependent protein kinase activity,GO:0004676,"Obesity, Morbid",MESH:D009767,0,,1,KSR2
"4 iron, 4 sulfur cluster binding",GO:0051539,Obesity,MESH:D009765,0,,2,DPYD|ETFDH
4-nitrophenol 2-monooxygenase activity,GO:0018601,Obesity,MESH:D009765,0,,1,CYP2E1
5'-3' exoribonuclease activity,GO:0004534,Obesity,MESH:D009765,0,,1,RAI1
"5alpha-androstane-3beta,17beta-diol dehydrogenase activity",GO:0047024,Obesity,MESH:D009765,0,,1,AKR1C3
5'-nucleotidase activity,GO:0008253,Obesity,MESH:D009765,6,bisphenol A|Fructose|geraniol|Metformin|Silymarin|Streptozocin,0,
5'-nucleotidase activity,GO:0008253,"Obesity, Abdominal",MESH:D056128,1,bisphenol A,0,
6-phosphofructo-2-kinase activity,GO:0003873,Obesity,MESH:D009765,0,,1,PFKFB3
6-phosphofructokinase activity,GO:0003872,Obesity,MESH:D009765,1,Lead,0,
7-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0047022,Obesity,MESH:D009765,0,,1,HSD11B1
7-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0047022,"Obesity, Abdominal",MESH:D056128,0,,1,HSD11B1
"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity",GO:0034039,Obesity,MESH:D009765,0,,1,OGG1
8-oxo-(d)RTP hydrolase activity,GO:0106379,Obesity,MESH:D009765,0,,1,ENPP1
ABC-type transporter activity,GO:0140359,Obesity,MESH:D009765,1,Dietary Fats,0,
ABC-type transporter activity,GO:0140359,"Obesity, Abdominal",MESH:D056128,1,Dietary Fats,0,
ABC-type xenobiotic transporter activity,GO:0008559,Obesity,MESH:D009765,2,Chlorpyrifos|Dronabinol,0,
acetate-CoA ligase activity,GO:0003987,Obesity,MESH:D009765,0,,1,ACSL1
acetylation-dependent protein binding,GO:0140033,Obesity,MESH:D009765,0,,1,EP300
acetylcholine binding,GO:0042166,Obesity,MESH:D009765,0,,1,ACHE
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,Obesity,MESH:D009765,2,Dronabinol|Nicotine,0,
