GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
14-3-3 protein binding,GO:0071889,Osteoarthritis,MESH:D010003,0,,1,YWHAQ
"17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity",GO:0047006,Osteoarthritis,MESH:D010003,0,,1,AKR1C1
17-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0072582,Osteoarthritis,MESH:D010003,0,,1,AKR1C2
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,"Osteoarthritis, Spine",MESH:D055013,0,,1,SKP2
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,Osteoarthritis,MESH:D010003,1,Curcumin,0,
3beta-hydroxy-5beta-steroid dehydrogenase activity,GO:0033703,Osteoarthritis,MESH:D010003,0,,1,AKR1C1
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Osteoarthritis,MESH:D010003,2,Curcumin|Indomethacin,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,"Osteoarthritis, Hip",MESH:D015207,1,Indomethacin,0,
3-chloroallyl aldehyde dehydrogenase activity,GO:0004028,Osteoarthritis,MESH:D010003,0,,1,ALDH1A2
3-hydroxyacyl-CoA dehydratase activity,GO:0018812,Osteoarthritis,MESH:D010003,0,,1,HADHA
3-hydroxyacyl-CoA dehydrogenase activity,GO:0003857,Osteoarthritis,MESH:D010003,0,,1,HADHA
3-hydroxyisobutyryl-CoA hydrolase activity,GO:0003860,Osteoarthritis,MESH:D010003,0,,1,HIBCH
"3 iron, 4 sulfur cluster binding",GO:0051538,Osteoarthritis,MESH:D010003,0,,1,ACO1
"4 iron, 4 sulfur cluster binding",GO:0051539,Osteoarthritis,MESH:D010003,0,,3,ACO1|NDUFS8|NDUFV1
"5alpha-androstane-3beta,17beta-diol dehydrogenase activity",GO:0047024,Osteoarthritis,MESH:D010003,0,,2,AKR1C1|AKR1C2
