GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
14-3-3 protein binding,GO:0071889,Parkinson Disease,MESH:D010300,0,,1,DDIT4
17-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0072582,Parkinson Disease,MESH:D010300,1,Eicosapentaenoic Acid,0,
17-beta-hydroxysteroid dehydrogenase (NADP+) activity,GO:0072582,Parkinsonian Disorders,MESH:D020734,1,Docosahexaenoic Acids,0,
1-alkyl-2-acetylglycerophosphocholine esterase activity,GO:0003847,"PARKINSON DISEASE 14, AUTOSOMAL RECESSIVE",OMIM:612953,0,,1,PLA2G6
1-phosphatidylinositol-3-kinase activity,GO:0016303,Parkinson Disease,MESH:D010300,1,1-Methyl-4-phenylpyridinium,0,
1-phosphatidylinositol-3-kinase activity,GO:0016303,Parkinsonian Disorders,MESH:D020734,1,1-Methyl-4-phenylpyridinium,0,
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,Parkinsonian Disorders,MESH:D020734,0,,1,PRL
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,Parkinson Disease,MESH:D010300,1,Atrazine,0,
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,"Parkinson Disease, Secondary",MESH:D010302,1,Atrazine,0,
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,Parkinsonian Disorders,MESH:D020734,1,Curcumin,0,
3'-5' exonuclease activity,GO:0008408,Parkinsonian Disorders,MESH:D020734,0,,1,POLG
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,"Parkinson Disease, Secondary",MESH:D010302,1,Flurbiprofen,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Parkinsonian Disorders,MESH:D020734,2,Curcumin|Indomethacin,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,"Parkinson Disease, Secondary",MESH:D010302,1,Chlorpromazine,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,Parkinsonian Disorders,MESH:D020734,4,Chlorpromazine|coenzyme Q10|cypermethrin|mancozeb,0,
3-chloroallyl aldehyde dehydrogenase activity,GO:0004028,Parkinsonian Disorders,MESH:D020734,0,,2,ALDH1A1|ALDH1A2
3-deoxyglucosone dehydrogenase activity,GO:0106373,Parkinsonian Disorders,MESH:D020734,0,,1,ALDH1A1
3-phosphoinositide-dependent protein kinase activity,GO:0004676,AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1,OMIM:105500,0,,1,TRPM7
3-phosphoinositide-dependent protein kinase activity,GO:0004676,Parkinson Disease,MESH:D010300,0,,3,GAK|LRRK2|PINK1
3-phosphoinositide-dependent protein kinase activity,GO:0004676,"Parkinson Disease 6, Autosomal Recessive Early-Onset",MESH:C565276,0,,1,PINK1
3-phosphoinositide-dependent protein kinase activity,GO:0004676,"PARKINSON DISEASE 8, AUTOSOMAL DOMINANT",OMIM:607060,0,,1,LRRK2
3-phosphoinositide-dependent protein kinase activity,GO:0004676,Parkinsonian Disorders,MESH:D020734,0,,2,LRRK2|PINK1
3-phosphoinositide-dependent protein kinase binding,GO:0043423,Parkinson Disease,MESH:D010300,0,,1,INSR
4-nitrophenol 2-monooxygenase activity,GO:0018601,Parkinson Disease,MESH:D010300,0,,1,CYP2E1
5.8S rRNA binding,GO:1990932,Parkinson Disease,MESH:D010300,0,,1,RPL6
5-aminolevulinate synthase activity,GO:0003870,Parkinson Disease,MESH:D010300,1,Trichloroethylene,0,
5-aminolevulinate synthase activity,GO:0003870,"Parkinson Disease, Secondary",MESH:D010302,1,Trichloroethylene,0,
5'-deoxyribose-5-phosphate lyase activity,GO:0051575,Parkinsonian Disorders,MESH:D020734,0,,1,POLG
5-hydroxy-L-tryptophan decarboxylase activity,GO:0036467,Parkinson Disease,MESH:D010300,0,,1,DDC
5-hydroxy-L-tryptophan decarboxylase activity,GO:0036467,Parkinsonian Disorders,MESH:D020734,0,,1,DDC
5'-nucleotidase activity,GO:0008253,"Parkinson Disease, Secondary",MESH:D010302,4,Benzo(a)pyrene|geraniol|Silymarin|thymoquinone,0,
5'-nucleotidase activity,GO:0008253,Parkinsonian Disorders,MESH:D020734,2,geraniol|Silymarin,0,
6-phosphofructo-2-kinase activity,GO:0003873,Parkinson Disease,MESH:D010300,1,Lithium Carbonate,0,
6-phosphofructo-2-kinase activity,GO:0003873,"Parkinson Disease, Secondary",MESH:D010302,1,Lithium Carbonate,0,
6-phosphofructokinase activity,GO:0003872,Parkinson Disease,MESH:D010300,1,Lead,0,
ABC-type oligopeptide transporter activity,GO:0015421,Parkinson Disease,MESH:D010300,0,,1,ABCB1
ABC-type oligopeptide transporter activity,GO:0015421,"Parkinson Disease, Secondary",MESH:D010302,0,,1,ABCB1
ABC-type polyamine transporter activity,GO:0015417,Parkinson Disease,MESH:D010300,0,,1,ATP13A2
ABC-type polyamine transporter activity,GO:0015417,"Parkinson Disease, Secondary",MESH:D010302,0,,1,ATP13A2
ABC-type polyamine transporter activity,GO:0015417,Parkinsonian Disorders,MESH:D020734,0,,1,ATP13A2
ABC-type transporter activity,GO:0140359,Parkinson Disease,MESH:D010300,0,,2,ABCB1|RAB32
ABC-type transporter activity,GO:0140359,"Parkinson Disease, Secondary",MESH:D010302,0,,1,ABCB1
ABC-type xenobiotic transporter activity,GO:0008559,Parkinson Disease,MESH:D010300,2,Chlorpyrifos|Endosulfan,1,ABCB1
ABC-type xenobiotic transporter activity,GO:0008559,"Parkinson Disease, Secondary",MESH:D010302,1,Verapamil,1,ABCB1
ABC-type xenobiotic transporter activity,GO:0008559,Parkinsonian Disorders,MESH:D020734,1,Verapamil,0,
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,"Parkinson Disease, Secondary",MESH:D010302,1,Nicotine,0,
acetylcholinesterase activity,GO:0003990,Parkinson Disease,MESH:D010300,14,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine|1-Methyl-4-phenylpyridinium|Aluminum|Chlorpyrifos|Hexachlorocyclohexane|Melatonin|Organophosphates|Particulate Matter|Pesticides|Reserpine|Rivastigmine|Rotenone|Vehicle Emissions|Water Pollutants, Chemical",0,
acetylcholinesterase activity,GO:0003990,"Parkinson Disease, Secondary",MESH:D010302,5,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine|Melatonin|Pesticides|Reserpine|Rotenone",1,BCHE
acetylcholinesterase activity,GO:0003990,Parkinsonian Disorders,MESH:D020734,9,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine|1-Methyl-4-phenylpyridinium|coenzyme Q10|Melatonin|Particulate Matter|Plant Extracts|Reserpine|Rivastigmine|Rotenone",0,
acetyl-CoA carboxylase activity,GO:0003989,"Parkinson Disease, Secondary",MESH:D010302,1,Resveratrol,0,
acetyl-CoA carboxylase activity,GO:0003989,Parkinsonian Disorders,MESH:D020734,1,Resveratrol,0,
[acetyl-CoA carboxylase] kinase activity,GO:0050405,Parkinson Disease,MESH:D010300,1,Lipopolysaccharides,0,
[acetyl-CoA carboxylase] kinase activity,GO:0050405,Parkinsonian Disorders,MESH:D020734,1,Lipopolysaccharides,0,
acidic amino acid transmembrane transporter activity,GO:0015172,Parkinson Disease,MESH:D010300,0,,1,SLC38A2
acid phosphatase activity,GO:0003993,Parkinson Disease,MESH:D010300,4,Chlorpyrifos|Estradiol|Iron|Lead,0,
acid phosphatase activity,GO:0003993,"Parkinson Disease, Secondary",MESH:D010302,3,Benzo(a)pyrene|Resveratrol|thymoquinone,0,
acid phosphatase activity,GO:0003993,Parkinsonian Disorders,MESH:D020734,5,Cadmium|Curcumin|manganese chloride|Plant Extracts|Resveratrol,0,
