GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,Pneumonia,MESH:D011014,0,,1,TNFRSF1B
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Pneumonia,MESH:D011014,2,Indomethacin|Vanadium,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,Pneumonia,MESH:D011014,1,Taurine,0,
3beta-hydroxysteroid dehydrogenase activity,GO:0102727,"Pneumonia, Aspiration",MESH:D011015,1,Chlorpromazine,0,
3-hydroxybutyrate dehydrogenase activity,GO:0003858,Pneumonia,MESH:D011014,1,Copper Sulfate,0,
3-phosphoinositide-dependent protein kinase activity,GO:0004676,Pneumonia,MESH:D011014,0,,1,IKBKB
"4 iron, 4 sulfur cluster binding",GO:0051539,Pneumonia,MESH:D011014,0,,1,LIAS
5'-nucleotidase activity,GO:0008253,Pneumonia,MESH:D011014,4,"bisphenol A|Cadmium Chloride|lipopolysaccharide, Escherichia coli O111 B4|naringin",0,
ABC-type transporter activity,GO:0140359,Pneumonia,MESH:D011014,1,Dietary Fats,0,
ABC-type xenobiotic transporter activity,GO:0008559,Pneumonia,MESH:D011014,1,Dronabinol,0,
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,Pneumonia,MESH:D011014,1,Dronabinol,0,
acetylcholinesterase activity,GO:0003990,Bronchopneumonia,MESH:D001996,1,Particulate Matter,0,
acetylcholinesterase activity,GO:0003990,Pneumonia,MESH:D011014,5,bisphenol A|Dronabinol|Particulate Matter|Sodium Selenite|Vehicle Emissions,0,
acetylcholinesterase activity,GO:0003990,"Pneumonia, Aspiration",MESH:D011015,1,Organophosphates,0,
acetylcholinesterase activity,GO:0003990,"Pneumonia, Lipid",MESH:D011017,1,Organophosphates,0,
acetylcholinesterase activity,GO:0003990,"Pneumonia, Viral",MESH:D011024,1,Particulate Matter,1,ACE
acetyl-CoA carboxylase activity,GO:0003989,Pneumonia,MESH:D011014,2,bisphenol A|Dietary Fats,0,
[acetyl-CoA carboxylase] kinase activity,GO:0050405,Pneumonia,MESH:D011014,1,Lipopolysaccharides,0,
