GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
12-hydroxyheptadecatrienoic acid synthase activity,GO:0036134,Psoriasis,MESH:D011565,0,,1,CYP2S1
14-3-3 protein binding,GO:0071889,Psoriasis,MESH:D011565,0,,1,TP53
6-phosphofructo-2-kinase activity,GO:0003873,Psoriasis,MESH:D011565,1,Lithium Carbonate,0,
acetylation-dependent protein binding,GO:0140033,Psoriasis,MESH:D011565,0,,1,STAT3
acetylcholinesterase activity,GO:0003990,Psoriasis,MESH:D011565,1,Tretinoin,0,
acid phosphatase activity,GO:0003993,Psoriasis,MESH:D011565,3,Cyclosporine|Folic Acid|Sulfasalazine,0,
actin binding,GO:0003779,Psoriasis,MESH:D011565,0,,1,NOS2
actinin binding,GO:0042805,Psoriasis,MESH:D011565,0,,1,CRP
adenosine deaminase activity,GO:0004000,Psoriasis,MESH:D011565,0,,1,CARM1
alkaline phosphatase activity,GO:0004035,Psoriasis,MESH:D011565,11,Calcitriol|Colchicine|Cyclosporine|Ficusin|Folic Acid|Hydroxychloroquine|Methotrexate|Prednisolone|Sirolimus|Sulfasalazine|Vitamin A,0,
alpha-actinin binding,GO:0051393,Psoriasis,MESH:D011565,0,,1,PPARG
aminoacylase activity,GO:0004046,Psoriasis,MESH:D011565,0,,1,CAT
aminopeptidase activity,GO:0004177,Psoriasis,MESH:D011565,0,,1,ERAP1
AMP-activated protein kinase activity,GO:0004679,Psoriasis,MESH:D011565,2,5-Methoxypsoralen|Folic Acid,0,
amyloid-beta binding,GO:0001540,Psoriasis,MESH:D011565,0,,1,APOE
antioxidant activity,GO:0016209,Psoriasis,MESH:D011565,3,Colchicine|Sulfasalazine|Tretinoin,3,APOE|CAT|SOD2
arachidonic acid binding,GO:0050544,Psoriasis,MESH:D011565,0,,1,PPARG
arachidonic acid epoxygenase activity,GO:0008392,Psoriasis,MESH:D011565,0,,1,CYP2S1
arginine binding,GO:0034618,Psoriasis,MESH:D011565,0,,1,NOS2
aspartic-type endopeptidase activity,GO:0004190,Psoriasis,MESH:D011565,0,,1,REN
ATP binding,GO:0005524,Psoriasis,MESH:D011565,0,,5,IFIH1|MKI67|RIGI|RUNX3|TYK2
ATP-dependent DNA/DNA annealing activity,GO:0036310,Psoriasis,MESH:D011565,0,,1,TP53
ATP hydrolysis activity,GO:0016887,Psoriasis,MESH:D011565,1,Sirolimus,2,IFIH1|RIGI
beta-2-microglobulin binding,GO:0030881,Parapsoriasis,MESH:D010267,0,,2,HLA-A|HLA-E
beta-catenin binding,GO:0008013,Psoriasis,MESH:D011565,0,,2,CARM1|NOS2
beta-N-acetylhexosaminidase activity,GO:0004563,Psoriasis,MESH:D011565,1,Cyclosporine,0,
cadherin binding,GO:0045296,Psoriasis,MESH:D011565,0,,1,NOS2
calcium-dependent phospholipase A2 activity,GO:0047498,Psoriasis,MESH:D011565,2,Tretinoin|Vitamin A,0,
calcium-dependent protein binding,GO:0048306,Psoriasis,MESH:D011565,0,,1,S100A7
calcium-dependent protein serine/threonine phosphatase activity,GO:0004723,Psoriasis,MESH:D011565,1,Tacrolimus,0,
calcium-independent phospholipase A2 activity,GO:0047499,Psoriasis,MESH:D011565,0,,1,REN
calcium ion binding,GO:0005509,Psoriasis,MESH:D011565,0,,3,CRP|GJB2|S100A7
calmodulin binding,GO:0005516,Psoriasis,MESH:D011565,0,,1,NOS2
cAMP-dependent protein kinase regulator activity,GO:0008603,Psoriasis,MESH:D011565,0,,1,NOS2
CARD domain binding,GO:0050700,Psoriasis,MESH:D011565,0,,1,CARD14
catalase activity,GO:0004096,Psoriasis,MESH:D011565,1,Qingdai compound,1,CAT
CCR5 chemokine receptor binding,GO:0031730,Psoriasis,MESH:D011565,0,,1,STAT3
CD40 receptor binding,GO:0005174,Psoriasis,MESH:D011565,0,,1,TNF
CD8 receptor binding,GO:0042610,Parapsoriasis,MESH:D010267,0,,1,HLA-A
channel activity,GO:0015267,Psoriasis,MESH:D011565,1,Ficusin,0,
chaperone binding,GO:0051087,Psoriasis,MESH:D011565,0,,2,CP|TP53
chemoattractant activity,GO:0042056,Psoriasis,MESH:D011565,0,,1,VEGFA
cholesterol binding,GO:0015485,Psoriasis,MESH:D011565,0,,1,CRP
cholesterol transfer activity,GO:0120020,Psoriasis,MESH:D011565,0,,1,APOE
choline binding,GO:0033265,Psoriasis,MESH:D011565,0,,1,CRP
chromatin binding,GO:0003682,Psoriasis,MESH:D011565,0,,3,PCNA|PPARG|TP53
chromatin DNA binding,GO:0031490,Psoriasis,MESH:D011565,0,,1,STAT3
cis-regulatory region sequence-specific DNA binding,GO:0000987,Psoriasis,MESH:D011565,0,,1,TP53
clathrin adaptor activity,GO:0035615,Psoriasis,MESH:D011565,0,,1,AP1S3
complement component C1q complex binding,GO:0001849,Psoriasis,MESH:D011565,0,,1,CRP
copper ion binding,GO:0005507,Psoriasis,MESH:D011565,0,,2,CP|TP53
core promoter sequence-specific DNA binding,GO:0001046,Psoriasis,MESH:D011565,0,,1,TP53
cysteine-type deubiquitinase activity,GO:0004843,Psoriasis,MESH:D011565,0,,1,TNFAIP3
cysteine-type endopeptidase activity involved in apoptotic process,GO:0097153,Psoriasis,MESH:D011565,1,Folic Acid,0,
cysteine-type endopeptidase inhibitor activity,GO:0004869,Psoriasis,MESH:D011565,0,,1,PTTG1
cystine:glutamate antiporter activity,GO:0015327,Psoriasis,MESH:D011565,1,Sulfasalazine,0,
cytochrome-c oxidase activity,GO:0004129,Psoriasis,MESH:D011565,3,Sirolimus|Tobacco Smoke Pollution|Vitamin A,0,
cytokine activity,GO:0005125,Psoriasis,MESH:D011565,0,,10,CSF2|IL12B|IL13|IL1B|IL23A|IL36RN|IL4|IL6|TNF|VEGFA
cytokine binding,GO:0019955,Psoriasis,MESH:D011565,0,,1,IL23R
