GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
1-phosphatidylinositol 4-kinase activity,GO:0004430,Pulmonary Edema,MESH:D011654,1,Quercetin,0,
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,Pulmonary Edema,MESH:D011654,1,Curcumin,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Pulmonary Edema,MESH:D011654,2,Curcumin|Indomethacin,0,
3-hydroxybutyrate dehydrogenase activity,GO:0003858,Pulmonary Edema,MESH:D011654,1,Arsenic Trioxide,0,
5'-nucleotidase activity,GO:0008253,Pulmonary Edema,MESH:D011654,5,"bisphenol A|geraniol|lipopolysaccharide, Escherichia coli O111 B4|Metformin|naringin",0,
ABC-type xenobiotic transporter activity,GO:0008559,Pulmonary Edema,MESH:D011654,3,Chlorpyrifos|Dronabinol|Verapamil,0,
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,Pulmonary Edema,MESH:D011654,2,Dronabinol|Nicotine,0,
acetylcholinesterase activity,GO:0003990,Pulmonary Edema,MESH:D011654,10,Ascorbic Acid|bisphenol A|Chlorpyrifos|Dronabinol|Melatonin|Particulate Matter|Quercetin|Sodium Fluoride|Tretinoin|Vehicle Emissions,0,
acetyl-CoA carboxylase activity,GO:0003989,Pulmonary Edema,MESH:D011654,3,bisphenol A|ferulic acid|Resveratrol,0,
[acetyl-CoA carboxylase] kinase activity,GO:0050405,Pulmonary Edema,MESH:D011654,2,Ethanol|Lipopolysaccharides,0,
acid phosphatase activity,GO:0003993,Pulmonary Edema,MESH:D011654,10,alpha-Tocopherol|Arsenic|Arsenic Trioxide|Ascorbic Acid|bisphenol A|Cadmium|Chlorpyrifos|Curcumin|Quercetin|Resveratrol,0,
aconitate hydratase activity,GO:0003994,Pulmonary Edema,MESH:D011654,2,bisphenol A|Paraquat,0,
actin binding,GO:0003779,Pulmonary Edema,MESH:D011654,0,,1,NOS3
actin monomer binding,GO:0003785,Pulmonary Edema,MESH:D011654,0,,1,NOS3
active monoatomic ion transmembrane transporter activity,GO:0022853,Pulmonary Edema,MESH:D011654,1,Nicotine,0,
acylphosphatase activity,GO:0003998,Pulmonary Edema,MESH:D011654,1,Quercetin,0,
adenosine kinase activity,GO:0004001,Pulmonary Edema,MESH:D011654,1,Oxygen,0,
adenylate cyclase activity,GO:0004016,Pulmonary Edema,MESH:D011654,2,"3-(2-hydroxy-4-(1,1-dimethylheptyl)phenyl)-4-(3-hydroxypropyl)cyclohexanol|Dronabinol",0,
