GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
1-alkyl-2-acetylglycerophosphocholine esterase activity,GO:0003847,Stroke,MESH:D020521,0,,1,PLA2G7
2-oxoglutarate-dependent dioxygenase activity,GO:0016706,Stroke,MESH:D020521,0,,1,HTR4
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,Stroke,MESH:D020521,0,,1,PDE3A
"3',5'-cyclic-GMP phosphodiesterase activity",GO:0047555,Stroke,MESH:D020521,0,,1,PDE3A
"3',5'-cyclic-nucleotide phosphodiesterase activity",GO:0004114,Stroke,MESH:D020521,0,,1,PDE3A
3-phosphoinositide-dependent protein kinase activity,GO:0004676,Stroke,MESH:D020521,0,,1,PRKAA2
5'-nucleotidase activity,GO:0008253,Stroke,MESH:D020521,1,Metformin,0,
ABC-type xenobiotic transporter activity,GO:0008559,Stroke,MESH:D020521,1,Verapamil,0,
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,Stroke,MESH:D020521,1,Nicotine,0,
acetylcholinesterase activity,GO:0003990,Hemorrhagic Stroke,MESH:D000083302,1,Particulate Matter,0,
acetylcholinesterase activity,GO:0003990,Ischemic Stroke,MESH:D000083242,1,Particulate Matter,0,
acetylcholinesterase activity,GO:0003990,Stroke,MESH:D020521,2,Ascorbic Acid|Particulate Matter,1,ACE
acetyl-CoA carboxylase activity,GO:0003989,Stroke,MESH:D020521,2,Niacinamide|Resveratrol,0,
[acetyl-CoA carboxylase] kinase activity,GO:0050405,Stroke,MESH:D020521,1,Ethanol,0,
acid phosphatase activity,GO:0003993,Ischemic Stroke,MESH:D000083242,1,Cisplatin,0,
acid phosphatase activity,GO:0003993,Stroke,MESH:D020521,5,Arsenic|Ascorbic Acid|Cadmium|Folic Acid|Resveratrol,0,
actin binding,GO:0003779,Ischemic Stroke,MESH:D000083242,0,,1,NOS3
actin binding,GO:0003779,Stroke,MESH:D020521,0,,2,ACE|NOS2
actinin binding,GO:0042805,Heat Stroke,MESH:D018883,0,,2,NFKB1|RELA
actin monomer binding,GO:0003785,Ischemic Stroke,MESH:D000083242,0,,1,NOS3
active monoatomic ion transmembrane transporter activity,GO:0022853,Heat Stroke,MESH:D018883,1,Glycerol,0,
active monoatomic ion transmembrane transporter activity,GO:0022853,Stroke,MESH:D020521,2,Glycerol|Nicotine,0,
ADP phosphatase activity,GO:0043262,Heat Stroke,MESH:D018883,0,,1,ALPL
ADP phosphatase activity,GO:0043262,Stroke,MESH:D020521,1,Caffeine,0,
adrenergic receptor activity,GO:0004935,Stroke,MESH:D020521,2,Dexamethasone|Nicotine,0,
aldehyde dehydrogenase (NAD+) activity,GO:0004029,Stroke,MESH:D020521,1,Disulfiram,0,
aldehyde dehydrogenase [NAD(P)+] activity,GO:0004030,Stroke,MESH:D020521,1,Ethanol,0,
alditol:NADP+ 1-oxidoreductase activity,GO:0004032,Stroke,MESH:D020521,2,Losartan|Metformin,0,
alkaline phosphatase activity,GO:0004035,Heat Stroke,MESH:D018883,0,,1,ALPL
alkaline phosphatase activity,GO:0004035,Ischemic Stroke,MESH:D000083242,1,Cisplatin,0,
alkaline phosphatase activity,GO:0004035,Stroke,MESH:D020521,22,Acetaminophen|Arsenic|Ascorbic Acid|Cadmium|Dexamethasone|Diclofenac|Edaravone|Ethanol|Ethinyl Estradiol|Folic Acid|Metformin|Methotrexate|Niacin|Niacinamide|Nicotine|Paroxetine|Raloxifene Hydrochloride|Resveratrol|Sildenafil Citrate|Simvastatin|Vitamin E|Warfarin,0,
"alpha-1,3-galactosyltransferase activity",GO:0001962,Stroke,MESH:D020521,0,,1,ABO
alpha2-adrenergic receptor activity,GO:0004938,Stroke,MESH:D020521,0,,1,HTR4
alpha-amylase activity,GO:0004556,Stroke,MESH:D020521,2,Carvedilol|Resveratrol,0,
