GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
1-phosphatidylinositol-3-kinase regulator activity,GO:0046935,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,0,,1,CISH
ABC-type xenobiotic transporter activity,GO:0008559,Tuberculosis,MESH:D014376,1,Verapamil,0,
acetylcholinesterase activity,GO:0003990,"Mycobacterium tuberculosis, susceptibility to infection by",MESH:C536092,1,Particulate Matter,0,
acetylcholinesterase activity,GO:0003990,Tuberculosis,MESH:D014376,1,Tretinoin,0,
acetylcholinesterase activity,GO:0003990,"Tuberculosis, Pulmonary",MESH:D014397,1,Particulate Matter,0,
acid phosphatase activity,GO:0003993,Tuberculosis,MESH:D014376,1,Iron,0,
acid phosphatase activity,GO:0003993,"Tuberculosis, Pulmonary",MESH:D014397,1,Arsenic,0,
actin binding,GO:0003779,Paratuberculosis,MESH:D010283,0,,1,GSN
actin binding,GO:0003779,Tuberculosis,MESH:D014376,0,,1,CORO1A
actin filament binding,GO:0051015,Paratuberculosis,MESH:D010283,0,,1,GSN
actin filament binding,GO:0051015,Tuberculosis,MESH:D014376,0,,1,CORO1A
actin monomer binding,GO:0003785,Tuberculosis,MESH:D014376,0,,1,CORO1A
aliphatic amine oxidase activity,GO:0052595,Paratuberculosis,MESH:D010283,0,,1,AOC3
alkaline phosphatase activity,GO:0004035,Latent Tuberculosis,MESH:D055985,1,Isoniazid,0,
alkaline phosphatase activity,GO:0004035,Tuberculosis,MESH:D014376,4,Chenodeoxycholic Acid|Isoniazid|Prednisolone|Vitamin K 2,0,
alkaline phosphatase activity,GO:0004035,"Tuberculosis, Central Nervous System",MESH:D020306,1,Isoniazid,0,
alkaline phosphatase activity,GO:0004035,"Tuberculosis, Gastrointestinal",MESH:D014385,1,Isoniazid,0,
alkaline phosphatase activity,GO:0004035,"Tuberculosis, Lymph Node",MESH:D014388,1,Isoniazid,0,
alkaline phosphatase activity,GO:0004035,"Tuberculosis, Meningeal",MESH:D014390,1,Isoniazid,0,
alkaline phosphatase activity,GO:0004035,"Tuberculosis, Multidrug-Resistant",MESH:D018088,1,Isoniazid,0,
