GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
acetylcholinesterase activity,GO:0003990,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
alkaline phosphatase activity,GO:0004035,Retinal Hemorrhage,MESH:D012166,3,Vitamin E|Warfarin|Zidovudine,0,
antioxidant activity,GO:0016209,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
argininosuccinate lyase activity,GO:0004056,Retinal Hemorrhage,MESH:D012166,1,Zidovudine,0,
calcium-dependent phospholipase A2 activity,GO:0047498,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
gap junction channel activity,GO:0005243,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
glucose-6-phosphatase activity,GO:0004346,Retinal Hemorrhage,MESH:D012166,1,Vitamin E,0,
glutathione peroxidase activity,GO:0004602,Retinal Hemorrhage,MESH:D012166,1,Vitamin E,0,
glutathione transferase activity,GO:0004364,Retinal Hemorrhage,MESH:D012166,2,Tretinoin|Vitamin E,0,
L-aspartate:2-oxoglutarate aminotransferase activity,GO:0004069,Retinal Hemorrhage,MESH:D012166,2,Vitamin E|Zidovudine,0,
MAP kinase activity,GO:0004707,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
NADH dehydrogenase (ubiquinone) activity,GO:0008137,Retinal Hemorrhage,MESH:D012166,1,Minocycline,0,
P-type sodium:potassium-exchanging transporter activity,GO:0005391,Retinal Hemorrhage,MESH:D012166,1,Vitamin E,0,
superoxide dismutase activity,GO:0004784,Retinal Hemorrhage,MESH:D012166,1,Vitamin E,0,
vitamin-K-epoxide reductase (warfarin-sensitive) activity,GO:0047057,Retinal Hemorrhage,MESH:D012166,1,Warfarin,0,
