Disease Name,Gene Symbol,Gene ID
Acute Mountain Sickness,PSMC6,5706
Acute Mountain Sickness,EPHB3,2049
Acute Mountain Sickness,HBB,3043
Acute Mountain Sickness,APOE,348
Acute Mountain Sickness,IL10,3586
Acute Mountain Sickness,AGXT2,64902
Acute Mountain Sickness,CDK1,983
Acute Mountain Sickness,HBA1,3039
Acute Mountain Sickness,AZU1,566
Acute Mountain Sickness,GRP,2922
Acute Mountain Sickness,PDE5A,8654
Acute Mountain Sickness,DIP2B,57609
Acute Mountain Sickness,FOS,2353
Acute Mountain Sickness,IL6,3569
Acute Mountain Sickness,EPAS1,2034
Acute Mountain Sickness,PDGFA,5154
Acute Mountain Sickness,BCL11B,64919
Acute Mountain Sickness,EDN1,1906
Acute Mountain Sickness,UQCRB,7381
Acute Mountain Sickness,HEMGN,55363
Acute Mountain Sickness,GGT1,2678
Acute Mountain Sickness,HSPA1A,3303
Acute Mountain Sickness,MRPL3,11222
Acute Mountain Sickness,COX7B,1349
Acute Mountain Sickness,AQP1,358
Acute Mountain Sickness,SMAD7,4092
Acute Mountain Sickness,CRHR1,1394
Acute Mountain Sickness,VEGFA,7422
Acute Mountain Sickness,HIF1A,3091
Acute Mountain Sickness,IL15RA,3601
Acute Mountain Sickness,CD5,921
Acute Mountain Sickness,BAG2,9532
Acute Mountain Sickness,LY96,23643
Acute Mountain Sickness,ANGPTL4,51129
Acute Mountain Sickness,TNF,7124
Acute Mountain Sickness,HAT1,8520
Acute Mountain Sickness,STC1,6781
Acute Mountain Sickness,VHL,7428
Acute Mountain Sickness,AGT,183
Acute Mountain Sickness,GSTM1,2944
Acute Mountain Sickness,IL21R,50615
Acute Mountain Sickness,CXCR3,2833
Acute Mountain Sickness,ALAS2,212
Acute Mountain Sickness,NR3C1,2908
Acute Mountain Sickness,DPY30,84661
Acute Mountain Sickness,RHEBL1,121268
Acute Mountain Sickness,AQP4,361
Acute Mountain Sickness,EGLN1,54583
Acute Mountain Sickness,HNRNPH1,3187
Acute Mountain Sickness,CRH,1392
Acute Mountain Sickness,ATR,545
Acute Mountain Sickness,PTGS1,5742
Acute Mountain Sickness,GALNT13,114805
Acute Mountain Sickness,IL7R,3575
Acute Mountain Sickness,SLC8A2,6543
Acute Mountain Sickness,AGTR1,185
Acute Mountain Sickness,HMGB1,3146
Acute Mountain Sickness,BDKRB2,624
Acute Mountain Sickness,CD4,920
Acute Mountain Sickness,EPO,2056
Acute Mountain Sickness,ACTN3,89
Acute Mountain Sickness,COMMD6,170622
Acute Mountain Sickness,DDAH2,23564
Acute Mountain Sickness,AIMP1,9255
Acute Mountain Sickness,DDAH1,23576
Acute Mountain Sickness,FCGR2A,2212
Acute Mountain Sickness,HBA2,3040
Acute Mountain Sickness,DPM1,8813
Acute Mountain Sickness,PRKCG,5582
Acute Mountain Sickness,ACE,1636
Acute Mountain Sickness,CD28,940
Acute Mountain Sickness,GSTT1,2952
Acute Mountain Sickness,JAK2,3717
Acute Mountain Sickness,DDX3X,1654
Acute Mountain Sickness,PTGES,9536
Acute Mountain Sickness,TNFSF13B,10673
Acute Mountain Sickness,HR,55806
Acute Mountain Sickness,NOS3,4846
Acute Mountain Sickness,FASLG,356
Acute Mountain Sickness,FAM149A,25854
Acute Mountain Sickness,TLR4,7099
Acute Mountain Sickness,CCL8,6355
