GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
A2M,2,Altitude Sickness,MESH:D000532,,Dexamethasone,3.03,,10915127
A2ML,100006972,Altitude Sickness,MESH:D000532,,Dexamethasone,4.26,,10915127
AACS,65985,Altitude Sickness,MESH:D000532,,Dexamethasone,3.33,,10915127
AADAC,13,Altitude Sickness,MESH:D000532,,Dexamethasone,3.48,,10915127
AADAT,51166,Altitude Sickness,MESH:D000532,,Dexamethasone,3.41,,10915127
AAK1,22848,Altitude Sickness,MESH:D000532,,Dexamethasone,3.51,,10915127
AAMDC,28971,Altitude Sickness,MESH:D000532,,Dexamethasone,3.6,,10915127
AAMP,14,Altitude Sickness,MESH:D000532,,Dexamethasone,3.61,,10915127
AANAT,15,Altitude Sickness,MESH:D000532,,Dexamethasone,3.99,,10915127
AANAT2,30685,Altitude Sickness,MESH:D000532,,Dexamethasone,4.44,,10915127
AAR2,25980,Altitude Sickness,MESH:D000532,,Dexamethasone,3.84,,10915127
AARS1,16,Altitude Sickness,MESH:D000532,,Dexamethasone,3.26,,10915127
AARS2,57505,Altitude Sickness,MESH:D000532,,Dexamethasone,3.85,,10915127
AATK,9625,Altitude Sickness,MESH:D000532,,Dexamethasone,3.55,,10915127
AATKB,555739,Altitude Sickness,MESH:D000532,,Dexamethasone,5.06,,10915127
ABAT,18,Altitude Sickness,MESH:D000532,,Dexamethasone,3.15,,10915127
ABCA1,19,Altitude Sickness,MESH:D000532,,Acetazolamide,7.89,,1978045|2712085|6349608
ABCA1,19,Altitude Sickness,MESH:D000532,,Dexamethasone,7.89,,10915127
ABCA11P,79963,Altitude Sickness,MESH:D000532,,Dexamethasone,4.31,,10915127
ABCA12,26154,Altitude Sickness,MESH:D000532,,Dexamethasone,3.63,,10915127
ABCA3,21,Altitude Sickness,MESH:D000532,,Dexamethasone,3.46,,10915127
ABCA3B,564344,Altitude Sickness,MESH:D000532,,Dexamethasone,5.06,,10915127
ABCA4A,798993,Altitude Sickness,MESH:D000532,,Dexamethasone,5.06,,10915127
ABCA6,23460,Altitude Sickness,MESH:D000532,,Dexamethasone,3.6,,10915127
