Disease Name,Gene Symbol,Gene ID
Deep Vein Thrombosis ,ABO,28
Deep Vein Thrombosis ,ACE,1636
Deep Vein Thrombosis ,ACE2,59272
Deep Vein Thrombosis ,ACR,49
Deep Vein Thrombosis ,ACSF2,80221
Deep Vein Thrombosis ,ACSL4,2182
Deep Vein Thrombosis ,ACTN4,81
Deep Vein Thrombosis ,ADAMTS13,11093
Deep Vein Thrombosis ,ADRA2A,150
Deep Vein Thrombosis ,AFM,173
Deep Vein Thrombosis ,AGA,175
Deep Vein Thrombosis ,AGT,183
Deep Vein Thrombosis ,AKT1,207
Deep Vein Thrombosis ,ALB,213
Deep Vein Thrombosis ,ALG6,29929
Deep Vein Thrombosis ,ALK,238
Deep Vein Thrombosis ,ALOX15,246
Deep Vein Thrombosis ,AMDHD1,144193
Deep Vein Thrombosis ,ANG,283
Deep Vein Thrombosis ,ANKRD26,22852
Deep Vein Thrombosis ,ANXA5,308
Deep Vein Thrombosis ,APC,324
Deep Vein Thrombosis ,APOB,338
Deep Vein Thrombosis ,APOC3,345
Deep Vein Thrombosis ,APOE,348
Deep Vein Thrombosis ,APP,351
Deep Vein Thrombosis ,AR,367
Deep Vein Thrombosis ,ARG1,383
Deep Vein Thrombosis ,ASXL1,171023
Deep Vein Thrombosis ,ATG2B,55102
Deep Vein Thrombosis ,ATG7,10533
Deep Vein Thrombosis ,ATM,472
Deep Vein Thrombosis ,ATP11C,286410
Deep Vein Thrombosis ,ATP6V0A4,50617
Deep Vein Thrombosis ,ATR,545
Deep Vein Thrombosis ,BAX,581
Deep Vein Thrombosis ,BCAR1,9564
Deep Vein Thrombosis ,BCL2L11,10018
Deep Vein Thrombosis ,BDKRB2,624
Deep Vein Thrombosis ,BID,637
Deep Vein Thrombosis ,BRCA1,672
Deep Vein Thrombosis ,BRCA2,675
Deep Vein Thrombosis ,C3,718
Deep Vein Thrombosis ,C4A,720
Deep Vein Thrombosis ,C4B,721
Deep Vein Thrombosis ,C4BPB,725
Deep Vein Thrombosis ,C8A,731
Deep Vein Thrombosis ,CAD,790
Deep Vein Thrombosis ,CALR,811
Deep Vein Thrombosis ,CAPN12,147968
Deep Vein Thrombosis ,CARNMT1,138199
Deep Vein Thrombosis ,CBS,875
Deep Vein Thrombosis ,CBX5,23468
Deep Vein Thrombosis ,CCL2,6347
Deep Vein Thrombosis ,CCL5,6352
Deep Vein Thrombosis ,CCL7,6354
Deep Vein Thrombosis ,CCR2,729230
Deep Vein Thrombosis ,CCR5,1234
Deep Vein Thrombosis ,CCR7,1236
Deep Vein Thrombosis ,CCS,9973
Deep Vein Thrombosis ,CD14,929
Deep Vein Thrombosis ,CD34,947
Deep Vein Thrombosis ,CD36,948
Deep Vein Thrombosis ,CD4,920
Deep Vein Thrombosis ,CD40,958
Deep Vein Thrombosis ,CD46,4179
Deep Vein Thrombosis ,CD47,961
Deep Vein Thrombosis ,CDH1,999
Deep Vein Thrombosis ,CDH18,1016
Deep Vein Thrombosis ,CHMP2B,25978
Deep Vein Thrombosis ,CLP1,10978
Deep Vein Thrombosis ,CNP,1267
Deep Vein Thrombosis ,COL3A1,1281
Deep Vein Thrombosis ,COL4A2,1284
Deep Vein Thrombosis ,COPE,11316
Deep Vein Thrombosis ,CP,1356
Deep Vein Thrombosis ,CR2,1380
Deep Vein Thrombosis ,CREB3L1,90993
Deep Vein Thrombosis ,CRNDE,643911
Deep Vein Thrombosis ,CRP,1401
Deep Vein Thrombosis ,CS,1431
Deep Vein Thrombosis ,CXCL1,2919
Deep Vein Thrombosis ,CXCR2,3579
Deep Vein Thrombosis ,CXCR4,7852
