Disease Name,Gene Symbol,Gene ID
High Altitude Cerebral Edema ,GZMB,3002
High Altitude Cerebral Edema ,CRHR1,1394
High Altitude Cerebral Edema ,VEGFA,7422
High Altitude Cerebral Edema ,AQP4,361
High Altitude Cerebral Edema ,HACE1,57531
High Altitude Cerebral Edema ,CD8A,925
High Altitude Cerebral Edema ,BAX,581
High Altitude Cerebral Edema ,EGLN1,54583
High Altitude Cerebral Edema ,CRH,1392
High Altitude Cerebral Edema ,EIF2B2,8892
High Altitude Cerebral Edema ,TGM3,7053
High Altitude Cerebral Edema ,MICE,4280
High Altitude Cerebral Edema ,ACE,1636
High Altitude Cerebral Edema ,CA1,759
High Altitude Cerebral Edema ,WARS2,10352
High Altitude Cerebral Edema ,PRKAR1B,5575
High Altitude Cerebral Edema ,TCHH,7062
High Altitude Cerebral Edema ,NRF1,4899
High Altitude Cerebral Edema ,IL10,3586
High Altitude Cerebral Edema ,NEK9,91754
High Altitude Cerebral Edema ,CCL8,6355
High Altitude Cerebral Edema ,TG,7038
High Altitude Cerebral Edema ,PELO,53918
High Altitude Cerebral Edema ,HDAC9,9734
High Altitude Cerebral Edema ,TNF,7124
High Altitude Cerebral Edema ,GPATCH2L,55668
High Altitude Cerebral Edema ,CD4,920
High Altitude Cerebral Edema ,SF3B1,23451
High Altitude Cerebral Edema ,ACE2,59272
High Altitude Cerebral Edema ,STC1,6781
High Altitude Cerebral Edema ,IL6,3569
High Altitude Cerebral Edema ,EPO,2056
High Altitude Cerebral Edema ,EPAS1,2034
High Altitude Cerebral Edema ,CD69,969
High Altitude Cerebral Edema ,PADI3,51702
High Altitude Cerebral Edema ,HCCS,3052
High Altitude Cerebral Edema ,CXCL9,4283
High Altitude Cerebral Edema ,TLR4,7099
High Altitude Cerebral Edema ,POR,5447
High Altitude Cerebral Edema ,CXCL10,3627
High Altitude Cerebral Edema ,AFP,174
High Altitude Cerebral Edema ,F3,2152
High Altitude Cerebral Edema ,TBX15,6913
High Altitude Cerebral Edema ,TWIST1,7291
