Disease Name,Gene Symbol,Gene ID
High Altitude Hypoxia,ABCB5,340273
High Altitude Hypoxia,ABI3,51225
High Altitude Hypoxia,ABR,29
High Altitude Hypoxia,ACE,1636
High Altitude Hypoxia,ACE2,59272
High Altitude Hypoxia,ACHE,43
High Altitude Hypoxia,ACSL4,2182
High Altitude Hypoxia,ACTA2,59
High Altitude Hypoxia,ACTB,60
High Altitude Hypoxia,ADAM15,8751
High Altitude Hypoxia,ADAM17,6868
High Altitude Hypoxia,ADAM9,8754
High Altitude Hypoxia,ADH6,130
High Altitude Hypoxia,ADM,133
High Altitude Hypoxia,AGT,183
High Altitude Hypoxia,AHR,196
High Altitude Hypoxia,ALAS1,211
High Altitude Hypoxia,ALAS2,212
High Altitude Hypoxia,ALKBH5,54890
High Altitude Hypoxia,ALOX15,246
High Altitude Hypoxia,ANGPT2,285
High Altitude Hypoxia,ANGPTL4,51129
High Altitude Hypoxia,ANXA2,302
High Altitude Hypoxia,APIP,51074
High Altitude Hypoxia,APOE,348
High Altitude Hypoxia,APOLD1,81575
High Altitude Hypoxia,APP,351
High Altitude Hypoxia,AQP4,361
High Altitude Hypoxia,AR,367
High Altitude Hypoxia,ARID5A,10865
High Altitude Hypoxia,ARNT,405
High Altitude Hypoxia,ASL,435
High Altitude Hypoxia,ATF3,467
High Altitude Hypoxia,ATF4,468
High Altitude Hypoxia,ATF5,22809
High Altitude Hypoxia,ATF6,22926
High Altitude Hypoxia,ATM,472
High Altitude Hypoxia,ATP1B2,482
High Altitude Hypoxia,B2M,567
High Altitude Hypoxia,BACH1,571
High Altitude Hypoxia,BAG2,9532
High Altitude Hypoxia,BAX,581
High Altitude Hypoxia,BCL2L2,599
High Altitude Hypoxia,BDNF,627
High Altitude Hypoxia,BHLHE40,8553
High Altitude Hypoxia,BHLHE41,79365
High Altitude Hypoxia,BMAL1,406
High Altitude Hypoxia,BMPR2,659
High Altitude Hypoxia,BRD2,6046
High Altitude Hypoxia,BRD4,23476
High Altitude Hypoxia,BRINP3,339479
High Altitude Hypoxia,CA1,759
High Altitude Hypoxia,CA2,760
High Altitude Hypoxia,CA3,761
High Altitude Hypoxia,CA4,762
High Altitude Hypoxia,CALM1,801
High Altitude Hypoxia,CALR,811
High Altitude Hypoxia,CAMP,820
High Altitude Hypoxia,CANX,821
High Altitude Hypoxia,CAPN3,825
High Altitude Hypoxia,CAT,847
High Altitude Hypoxia,CBLB,868
High Altitude Hypoxia,CBS,875
High Altitude Hypoxia,CD34,947
High Altitude Hypoxia,CD4,920
High Altitude Hypoxia,CD44,960
High Altitude Hypoxia,CD47,961
High Altitude Hypoxia,CD68,968
High Altitude Hypoxia,CDC42,998
High Altitude Hypoxia,CDKAL1,54901
High Altitude Hypoxia,CDKN1A,1026
High Altitude Hypoxia,CDKN1B,1027
High Altitude Hypoxia,CEBPA,1050
High Altitude Hypoxia,CFAP206,154313
High Altitude Hypoxia,CHAT,1103
High Altitude Hypoxia,CHL1,10752
High Altitude Hypoxia,CHRM1,1128
High Altitude Hypoxia,CHRM2,1129
High Altitude Hypoxia,CHRM3,1131
High Altitude Hypoxia,CHRM4,1132
High Altitude Hypoxia,CHRM5,1133
High Altitude Hypoxia,CLASRP,11129
High Altitude Hypoxia,CLC,1178
High Altitude Hypoxia,CLCA1,1179
High Altitude Hypoxia,CLOCK,9575
High Altitude Hypoxia,CMC1,152100
High Altitude Hypoxia,COL14A1,7373
High Altitude Hypoxia,COL1A1,1277
High Altitude Hypoxia,COL1A2,1278
High Altitude Hypoxia,COL3A1,1281
High Altitude Hypoxia,COQ7,10229
High Altitude Hypoxia,COX10,1352
High Altitude Hypoxia,CPD,1362
High Altitude Hypoxia,CRH,1392
High Altitude Hypoxia,CRHR1,1394
High Altitude Hypoxia,CRYAA,1409
High Altitude Hypoxia,CRYZ,1429
High Altitude Hypoxia,CXCL10,3627
High Altitude Hypoxia,CXCL2,2920
High Altitude Hypoxia,CXCR4,7852
High Altitude Hypoxia,CYBA,1535
High Altitude Hypoxia,CYP11A1,1583
High Altitude Hypoxia,CYP11B2,1585
High Altitude Hypoxia,CYP19A1,1588
High Altitude Hypoxia,CYP1A2,1544
High Altitude Hypoxia,CYP24A1,1591
High Altitude Hypoxia,CYP27B1,1594
High Altitude Hypoxia,CYP2C9,1559
High Altitude Hypoxia,CYP2E1,1571
High Altitude Hypoxia,CYP2R1,120227
High Altitude Hypoxia,CYP3A4,1576
High Altitude Hypoxia,DDX24,57062
High Altitude Hypoxia,DGKG,1608
High Altitude Hypoxia,DHCR24,1718
High Altitude Hypoxia,DIP2B,57609
High Altitude Hypoxia,DMD,1756
High Altitude Hypoxia,DMRTA1,63951
High Altitude Hypoxia,DNM2,1785
High Altitude Hypoxia,DNMT1,1786
High Altitude Hypoxia,DNMT3B,1789
High Altitude Hypoxia,DPP4,1803
High Altitude Hypoxia,DSG3,1830
High Altitude Hypoxia,DUOX2,50506
High Altitude Hypoxia,DUOXA1,90527
High Altitude Hypoxia,DUSP1,1843
High Altitude Hypoxia,DYSF,8291
High Altitude Hypoxia,E2F8,79733
High Altitude Hypoxia,EDN1,1906
High Altitude Hypoxia,EEF1A1,1915
High Altitude Hypoxia,EFNB2,1948
High Altitude Hypoxia,EGFR,1956
High Altitude Hypoxia,EGLN1,54583
High Altitude Hypoxia,EIF4A3,9775
High Altitude Hypoxia,ENO2,2026
High Altitude Hypoxia,ENPEP,2028
High Altitude Hypoxia,ENTPD1,953
High Altitude Hypoxia,EP300,2033
High Altitude Hypoxia,EPAS1,2034
High Altitude Hypoxia,EPHA2,1969
High Altitude Hypoxia,EPHB3,2049
High Altitude Hypoxia,EPHX1,2052
High Altitude Hypoxia,EPM2A,7957
High Altitude Hypoxia,EPO,2056
High Altitude Hypoxia,EPOR,2057
High Altitude Hypoxia,ERBB2,2064
High Altitude Hypoxia,EREG,2069
High Altitude Hypoxia,ERH,2079
High Altitude Hypoxia,ESR1,2099
High Altitude Hypoxia,ESR2,2100
High Altitude Hypoxia,ETS1,2113
High Altitude Hypoxia,F3,2152
High Altitude Hypoxia,FAP,2191
High Altitude Hypoxia,FASLG,356
High Altitude Hypoxia,FCGBP,8857
High Altitude Hypoxia,FDFT1,2222
High Altitude Hypoxia,FETUB,26998
High Altitude Hypoxia,FGF10,2255
High Altitude Hypoxia,FIS1,51024
High Altitude Hypoxia,FLI1,2313
High Altitude Hypoxia,FLT1,2321
High Altitude Hypoxia,FNDC1,84624
High Altitude Hypoxia,FOS,2353
High Altitude Hypoxia,FOSL2,2355
High Altitude Hypoxia,FOXO1,2308
High Altitude Hypoxia,FOXO3,2309
High Altitude Hypoxia,FOXP4,116113
High Altitude Hypoxia,FST,10468
High Altitude Hypoxia,FTH1,2495
High Altitude Hypoxia,FTO,79068
High Altitude Hypoxia,FUNDC1,139341
