GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
A3GALT2,127550,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.2,,21296072
AAAS,8086,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.8,,21296072
AAR2,25980,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.17,,21296072
AARS1,16,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.59,,21296072
AASS,10157,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.69,,21296072
ABCA1,19,Pulmonary edema of mountaineers,MESH:C535833,,Acetazolamide,4.56,,32226695
ABCA4,24,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.97,,21296072
ABCA7,10347,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.93,,21296072
ABCA8,10351,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.91,,21296072
ABCA8A,217258,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.79,,21296072
ABCB1,5243,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,2.75,,21296072
ABCB10,23456,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.97,,21296072
ABCB1A,18671,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.25,,21296072
ABCB6,10058,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.61,,21296072
ABCC1,4363,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.03,,21296072
ABCC3,8714,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.05,,21296072
ABCC4,10257,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.16,,21296072
ABCF1,23,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.66,,21296072
ABCF2,10061,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.84,,21296072
ABCG2,9429,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3,,21296072
ABCG3L1,289453,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.7,,21296072
ABCG3L4,360997,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.8,,21296072
ABCG5,64240,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.38,,21296072
ABCG8,64241,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.54,,21296072
ABHD10,55347,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.99,,21296072
ABHD11,83451,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.83,,21296072
ABHD17B,51104,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.06,,21296072
ABHD2,11057,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.62,,21296072
ABHD3,171586,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.85,,21296072
ABHD4,63874,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.66,,21296072
ABHD5,51099,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.73,,21296072
ABI1,10006,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.78,,21296072
ABI3,51225,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.01,,21296072
ABL2,27,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.72,,21296072
ABLIM3,22885,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.7,,21296072
ABR,29,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.82,,21296072
ABRACL,58527,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.01,,21296072
ACAA2,10449,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.44,,21296072
ACACA,31,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.05,,21296072
ACAD9,28976,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.68,,21296072
ACADSB,36,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.71,,21296072
ACBD3,64746,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.78,,21296072
ACBD4,79777,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.85,,21296072
ACD,65057,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.1,,21296072
