GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
2700097O09RIKL,314128,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,5.79,,36513242
6430548M08RIKL,307907,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,5.42,,36513242
9530082P21RIKL,360487,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,5.74,,36513242
A1CF,29974,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.84,,36513242
A2M,2,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.16,,36513242
A2ML1,144568,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.91,,36513242
A3GALT2,127550,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,5.01,,36513242
A630001G21RIKL,501176,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,6.00,,36513242
AACS,65985,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.46,,36513242
AADAC,13,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.62,,36513242
AADAT,51166,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.55,,36513242
AAK1,22848,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.04,,9626627
AARD,441376,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcifediol,11.26,,6897822
AARD,441376,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,11.26,,11305809|1585935|17984431|3626302|6760236|6897822
AARD,441376,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.96,,36513242
AARS1,16,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.39,,36513242
AARS2,57505,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.39,,9626627
AASS,10157,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.49,,36513242
AB,34560,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,6.34,,36513242
ABAT,18,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,3.56,,11305809|1585935|17984431|3626302|6760236|6897822
ABAT,18,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,4.28,,36513242
ABCA1,19,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,7.40,,9626627
ABCA1,19,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Calcitriol,7.40,,11305809|1585935|17984431|3626302|6760236|6897822
ABCA1,19,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,,Endosulfan,3.91,,36513242
ABCA10,10349,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,,Aluminum,4.87,,9626627
