GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
A1BG,1,"Sleep Disorders, Intrinsic",MESH:D020919,,Olanzapine,5.44,,16886695
A2M,2,"Sleep Disorders, Intrinsic",MESH:D020919,,Olanzapine,4.80,,16886695
A2ML,100006972,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Haloperidol,4.78,,12405556|9463841
A2ML,100006972,"Sleep Disorders, Intrinsic",MESH:D020919,,Haloperidol,5.33,,16886695|16905684
AANAT,15,"Sleep Disorders, Circadian Rhythm",MESH:D020178,marker/mechanism,,,,12736803
AANAT2,30685,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Melatonin,5.32,,11684046|12405556|18078449|19452292|25395965|9095378
AARS1,16,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Haloperidol,3.78,,12405556|9463841
AARS1,16,"Sleep Disorders, Intrinsic",MESH:D020919,,Haloperidol,4.33,,16886695|16905684
AASDH,132949,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Haloperidol,4.29,,12405556|9463841
AASDH,132949,"Sleep Disorders, Intrinsic",MESH:D020919,,Haloperidol,4.83,,16886695|16905684
ABCB1,5243,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Haloperidol,6.04,,12405556|9463841
ABCB1,5243,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Melatonin,6.04,,11684046|12405556|18078449|19452292|25395965|9095378
ABCB1,5243,"Sleep Disorders, Intrinsic",MESH:D020919,,Haloperidol,13.82,,16886695|16905684
ABCB1,5243,"Sleep Disorders, Intrinsic",MESH:D020919,,Olanzapine,13.82,,16886695
ABCB1,5243,"Sleep Disorders, Intrinsic",MESH:D020919,,Quetiapine Fumarate,13.82,,16905684
ABCB11,8647,"Sleep Disorders, Intrinsic",MESH:D020919,,Olanzapine,4.46,,16886695
ABCB1A,18671,"Sleep Disorders, Intrinsic",MESH:D020919,,Olanzapine,4.69,,16886695
ABCB1B,18669,"Sleep Disorders, Intrinsic",MESH:D020919,,Olanzapine,4.82,,16886695
ABCB6,10058,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Melatonin,4.17,,11684046|12405556|18078449|19452292|25395965|9095378
ABCC1,4363,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Haloperidol,3.24,,12405556|9463841
ABCC1,4363,"Sleep Disorders, Intrinsic",MESH:D020919,,Haloperidol,3.77,,16886695|16905684
ABCG2,9429,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Haloperidol,3.21,,12405556|9463841
ABCG2,9429,"Sleep Disorders, Intrinsic",MESH:D020919,,Haloperidol,15.27,,16886695|16905684
ABCG2,9429,"Sleep Disorders, Intrinsic",MESH:D020919,,Olanzapine,15.27,,16886695
ABCG2,9429,"Sleep Disorders, Intrinsic",MESH:D020919,,Quetiapine Fumarate,15.27,,16905684
ABRAB,445477,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Haloperidol,5.31,,12405556|9463841
ABRAB,445477,"Sleep Disorders, Intrinsic",MESH:D020919,,Haloperidol,5.85,,16886695|16905684
ACACA,31,"Sleep Disorders, Intrinsic",MESH:D020919,,Olanzapine,4.48,,16886695
ACADM,34,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Melatonin,3.93,,11684046|12405556|18078449|19452292|25395965|9095378
ACADS,35,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Melatonin,4.21,,11684046|12405556|18078449|19452292|25395965|9095378
ACADVL,37,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Haloperidol,3.76,,12405556|9463841
ACADVL,37,"Sleep Disorders, Intrinsic",MESH:D020919,,Haloperidol,4.30,,16886695|16905684
ACAN,176,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Melatonin,4.32,,11684046|12405556|18078449|19452292|25395965|9095378
ACAT1,38,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Haloperidol,8.37,,12405556|9463841
ACAT1,38,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Melatonin,8.37,,11684046|12405556|18078449|19452292|25395965|9095378
ACAT1,38,"Sleep Disorders, Intrinsic",MESH:D020919,,Haloperidol,4.20,,16886695|16905684
ACBD7,414149,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,Haloperidol,4.25,,12405556|9463841
ACBD7,414149,"Sleep Disorders, Intrinsic",MESH:D020919,,Haloperidol,4.80,,16886695|16905684
