GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
A1BG,1,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.52,,18452541
A2M,2,Retinal Hemorrhage,MESH:D012166,,Tretinoin,2.88,,18452541
A2ML,100006972,Retinal Hemorrhage,MESH:D012166,,Warfarin,5.12,,12855977
AAAS,8086,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.33,,18452541
AAED1,427472,Retinal Hemorrhage,MESH:D012166,,Tretinoin,4.57,,18452541
AAMDC,28971,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.45,,18452541
AAMP,14,Retinal Hemorrhage,MESH:D012166,,Vitamin E,4.18,,3547300
AAR2,25980,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.69,,18452541
AARD,441376,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.67,,18452541
AARS1,16,Retinal Hemorrhage,MESH:D012166,,Tretinoin,8.87,,18452541
AARS1,16,Retinal Hemorrhage,MESH:D012166,,Warfarin,8.87,,12855977
AARSD1,80755,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.83,,18452541
AASDH,132949,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.61,,18452541
AASDHPPT,60496,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.54,,18452541
AASS,10157,Retinal Hemorrhage,MESH:D012166,,Vitamin E,3.94,,3547300
AATK,9625,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.40,,18452541
ABAT,18,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.00,,18452541
ABCA1,19,Retinal Hemorrhage,MESH:D012166,,Tretinoin,2.64,,18452541
ABCA12,26154,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.48,,18452541
ABCA1A,558924,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.87,,18452541
ABCA1B,100136868,Retinal Hemorrhage,MESH:D012166,,Tretinoin,4.04,,18452541
ABCA2,20,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.31,,18452541
ABCA3,21,Retinal Hemorrhage,MESH:D012166,,Zidovudine,4.45,,19668413
ABCA5,23461,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.27,,18452541
ABCA7,10347,Retinal Hemorrhage,MESH:D012166,,Tretinoin,10.04,,18452541
ABCA7,10347,Retinal Hemorrhage,MESH:D012166,,Zidovudine,10.04,,19668413
ABCB1,5243,Retinal Hemorrhage,MESH:D012166,,Azathioprine,19.96,,12352092
ABCB1,5243,Retinal Hemorrhage,MESH:D012166,,Cytarabine,19.96,,10997890
ABCB1,5243,Retinal Hemorrhage,MESH:D012166,,Tretinoin,19.96,,18452541
ABCB1,5243,Retinal Hemorrhage,MESH:D012166,,Warfarin,19.96,,12855977
ABCB1,5243,Retinal Hemorrhage,MESH:D012166,,Zidovudine,19.96,,19668413
ABCB10,23456,Retinal Hemorrhage,MESH:D012166,,Tretinoin,3.49,,18452541
ABCB11,8647,Retinal Hemorrhage,MESH:D012166,,Azathioprine,17.03,,12352092
ABCB11,8647,Retinal Hemorrhage,MESH:D012166,,Tretinoin,17.03,,18452541
ABCB11,8647,Retinal Hemorrhage,MESH:D012166,,Vitamin E,17.03,,3547300
ABCB11,8647,Retinal Hemorrhage,MESH:D012166,,Zidovudine,17.03,,19668413
ABCB1A,18671,Retinal Hemorrhage,MESH:D012166,,Warfarin,3.79,,12855977
ABCB1B,18669,Retinal Hemorrhage,MESH:D012166,,Tretinoin,2.91,,18452541
ABCB4,5244,Retinal Hemorrhage,MESH:D012166,,Azathioprine,7.71,,12352092
ABCB4,5244,Retinal Hemorrhage,MESH:D012166,,Tretinoin,7.71,,18452541
ABCB5,340273,Retinal Hemorrhage,MESH:D012166,,Tretinoin,10.56,,18452541
ABCB5,340273,Retinal Hemorrhage,MESH:D012166,,Warfarin,10.56,,12855977
ABCB9,23457,Retinal Hemorrhage,MESH:D012166,,Warfarin,10.17,,12855977
ABCB9,23457,Retinal Hemorrhage,MESH:D012166,,Zidovudine,10.17,,19668413
ABCC1,4363,Retinal Hemorrhage,MESH:D012166,,Cytarabine,7.49,,10997890
ABCC1,4363,Retinal Hemorrhage,MESH:D012166,,Zidovudine,7.49,,19668413
ABCC10,89845,Retinal Hemorrhage,MESH:D012166,,Zidovudine,4.76,,19668413
ABCC11,85320,Retinal Hemorrhage,MESH:D012166,,Zidovudine,5.10,,19668413
ABCC12,94160,Retinal Hemorrhage,MESH:D012166,,Tretinoin,10.59,,18452541
ABCC12,94160,Retinal Hemorrhage,MESH:D012166,,Warfarin,10.59,,12855977
ABCC2,1244,Retinal Hemorrhage,MESH:D012166,,Azathioprine,15.97,,12352092
ABCC2,1244,Retinal Hemorrhage,MESH:D012166,,Tretinoin,15.97,,18452541
ABCC2,1244,Retinal Hemorrhage,MESH:D012166,,Vitamin E,15.97,,3547300
ABCC2,1244,Retinal Hemorrhage,MESH:D012166,,Warfarin,15.97,,12855977
ABCC3,8714,Retinal Hemorrhage,MESH:D012166,,Azathioprine,11.98,,12352092
ABCC3,8714,Retinal Hemorrhage,MESH:D012166,,Tretinoin,11.98,,18452541
ABCC3,8714,Retinal Hemorrhage,MESH:D012166,,Zidovudine,11.98,,19668413
ABCC4,10257,Retinal Hemorrhage,MESH:D012166,,Azathioprine,12.58,,12352092
ABCC4,10257,Retinal Hemorrhage,MESH:D012166,,Tretinoin,12.58,,18452541
ABCC4,10257,Retinal Hemorrhage,MESH:D012166,,Zidovudine,12.58,,19668413
ABCC5,10057,Retinal Hemorrhage,MESH:D012166,,Zidovudine,4.14,,19668413
ABCC6,368,Retinal Hemorrhage,MESH:D012166,,Tretinoin,15.16,,18452541
ABCC6,368,Retinal Hemorrhage,MESH:D012166,,Warfarin,15.16,,12855977
