GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,OmimIDs,PubMedIDs
ABCA7,10347,Alzheimer Disease,MESH:D000544,marker/mechanism,,21460840|25807283
ABCA7,10347,Alzheimer Disease 9,MESH:C563834,marker/mechanism,608907,
ABI3,51225,Alzheimer Disease,MESH:D000544,marker/mechanism,,28714976
ACE,1636,Alzheimer Disease,MESH:D000544,marker/mechanism,,10643899|14872014|17192785|30820047|9916793
ACHE,43,Alzheimer Disease,MESH:D000544,marker/mechanism,,22944069|23047022
ADAM10,102,Alzheimer Disease,MESH:D000544,marker/mechanism,,30820047
ADAM10,102,ALZHEIMER DISEASE 18,OMIM:615590,marker/mechanism,615590,
ADAMTS1,9510,Alzheimer Disease,MESH:D000544,marker/mechanism,,30820047
AMFR,267,Alzheimer Disease,MESH:D000544,marker/mechanism,,22313999
APH1B,83464,Alzheimer Disease,MESH:D000544,marker/mechanism,,33589840
APOC1,341,Alzheimer Disease,MESH:D000544,marker/mechanism,,29107063|30319691
APOE,348,Alzheimer Disease,MESH:D000544,marker/mechanism,,19734902|20819998|24162737|24473795|27023435|29107063|30319691|30320580|8346443
APOE,348,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,marker/mechanism,607822,
APOE,348,Alzheimer disease type 2,MESH:C536595,marker/mechanism,104310,
APOE,348,Alzheimer disease type 4,MESH:C536596,marker/mechanism,606889,
APP,351,Alzheimer Disease,MESH:D000544,marker/mechanism,104300,12192006|12572668|12746438|12852432|1497677|15590663|15591071|15993441|16204253|16266835|16325427|16492752|16651627|1671712|1678058|16969627|17239395|17430250|18583042|19286555|19818510|20111991|20157255|20640797|21157020|21209907|21980910|22507317|23827522|25352456|25714973|27117003|27567873|28448946|29420472|30320580
ARC,23237,Alzheimer Disease,MESH:D000544,marker/mechanism,,18503570
ATP5F1A,498,Alzheimer Disease,MESH:D000544,marker/mechanism,,19374891
ATP7,32142,Alzheimer Disease,MESH:D000544,therapeutic,,23827522
BACE1,23621,Alzheimer Disease,MESH:D000544,marker/mechanism,,16407166
BAX,581,Alzheimer Disease,MESH:D000544,marker/mechanism,,18077176
BCHE,590,Alzheimer Disease,MESH:D000544,marker/mechanism,,23022600
BCL2,596,Alzheimer Disease,MESH:D000544,marker/mechanism,,18077176
BDNF,627,Alzheimer Disease,MESH:D000544,marker/mechanism,,17344400
BIN1,274,Alzheimer Disease,MESH:D000544,marker/mechanism,,21460841|33589840
CALM1,801,Alzheimer Disease,MESH:D000544,marker/mechanism,,11470324
CASP3,836,Alzheimer Disease,MESH:D000544,marker/mechanism,,18077176
CASS4,57091,Alzheimer Disease,MESH:D000544,marker/mechanism,,30320580|33589840
CCDC6,8030,Alzheimer Disease,MESH:D000544,marker/mechanism,,33589840
CD2AP,23607,Alzheimer Disease,MESH:D000544,marker/mechanism,,21460840|21460841|30320580
CD33,945,Alzheimer Disease,MESH:D000544,marker/mechanism,,21460840|21460841
CHRNA7,1139,Alzheimer Disease,MESH:D000544,marker/mechanism,,18071042
CHRNB2,1141,Alzheimer Disease,MESH:D000544,marker/mechanism,,17192785
CLU,1191,Alzheimer Disease,MESH:D000544,marker/mechanism,,19734902|19734903|21460841
CR1,1378,Alzheimer Disease,MESH:D000544,marker/mechanism,,19734903|21460841
CRH,1392,Alzheimer Disease,MESH:D000544,therapeutic,,7477348
CST3,1471,Alzheimer Disease,MESH:D000544,marker/mechanism|therapeutic,,17192785|18026100
CTR1B,40989,Alzheimer Disease,MESH:D000544,therapeutic,,23827522
CTR1C,43668,Alzheimer Disease,MESH:D000544,therapeutic,,23827522
CYP2D6,1565,Alzheimer Disease,MESH:D000544,marker/mechanism,,7574463
CYP46A1,10858,Alzheimer Disease,MESH:D000544,marker/mechanism,,19286353
DHCR24,1718,Alzheimer Disease,MESH:D000544,marker/mechanism,,23042211
DPYSL2,1808,Alzheimer Disease,MESH:D000544,marker/mechanism,,19374891
EIF2S1,1965,Alzheimer Disease,MESH:D000544,marker/mechanism,,17406652
ENO1,2023,Alzheimer Disease,MESH:D000544,marker/mechanism,,19374891
EPHA1,2041,Alzheimer Disease,MESH:D000544,marker/mechanism,,21460840|21460841
ESR1,2099,Alzheimer Disease,MESH:D000544,marker/mechanism,,17192785
F2,2147,Alzheimer Disease,MESH:D000544,marker/mechanism,,8333868
GAPDHS,26330,Alzheimer Disease,MESH:D000544,marker/mechanism,,17192785
GSK3B,2932,Alzheimer Disease,MESH:D000544,marker/mechanism,,17409235|22944069
HFE,3077,Alzheimer Disease,MESH:D000544,marker/mechanism,,15060098|17047092
HLA-DRB5,3127,Alzheimer Disease,MESH:D000544,marker/mechanism,,27713094
HMOX1,3162,Alzheimer Disease,MESH:D000544,marker/mechanism,,11144356
IDE,3416,Alzheimer Disease,MESH:D000544,marker/mechanism,,17192785
IGF1,3479,Alzheimer Disease,MESH:D000544,marker/mechanism,,15750215
IGF1R,3480,Alzheimer Disease,MESH:D000544,marker/mechanism,,15750215
IGF2,3481,Alzheimer Disease,MESH:D000544,marker/mechanism,,15750215
IGF2R,3482,Alzheimer Disease,MESH:D000544,marker/mechanism,,15750215
IL1B,3553,Alzheimer Disease,MESH:D000544,marker/mechanism,,18675847
INPP5D,3635,Alzheimer Disease,MESH:D000544,marker/mechanism,,30320580
INS,3630,Alzheimer Disease,MESH:D000544,marker/mechanism,,15750215|9443474
INSR,3643,Alzheimer Disease,MESH:D000544,marker/mechanism,,24055495
IQCK,124152,Alzheimer Disease,MESH:D000544,marker/mechanism,,30820047
LEP,3952,Alzheimer Disease,MESH:D000544,therapeutic,,20157255
MAOB,4129,Alzheimer Disease,MESH:D000544,marker/mechanism,,21075085|7816197
MAPT,4137,Alzheimer Disease,MESH:D000544,marker/mechanism,,12852432|14517953|15750215|20157255|21715663|25352456|27117003
