GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,OmimIDs,PubMedIDs
ABCC8,6833,"Diabetes Mellitus, Transient Neonatal, 2",MESH:C563672,marker/mechanism,610374,
ABCC8,6833,"Diabetes Mellitus, Type 1",MESH:D003922,marker/mechanism,,18025464
ABCC8,6833,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,125853,22209866|9568693
ACE,1636,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,22191573
ACOT1,641371,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,14563825
ACOX1,51,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,14563825
ACSL1,2180,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,9452481
ADAMTS9,56999,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,18372903|23967108
ADCY5,111,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,20081858|23202124
ADIPOQ,9370,Diabetes Mellitus,MESH:D003920,marker/mechanism,,12860835
ADIPOQ,9370,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,12114044|12354786|15734870
ADRA1A,148,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,19133277
ADRB1,153,Diabetes Mellitus,MESH:D003920,marker/mechanism,,18378355
ADRB3,155,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,17622774
AGT,183,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,15831366|17177138|18829990
AIFM1,9131,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,23499715
AIFM1,9131,"Diabetes Mellitus, Type 1",MESH:D003922,marker/mechanism,,23499715
AKT1,207,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,31626838
AKT2,208,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,125853,
ALPK1,80216,Diabetes Mellitus,MESH:D003920,marker/mechanism,,27542954
AOC3,8639,Diabetes Mellitus,MESH:D003920,marker/mechanism,,23154672
AOC3,8639,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,14977883
AP3S2,10239,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,21874001
ATF3,467,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,16123366
ATF3,467,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,16123366
ATP2A2,488,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,16123366
ATP2A2,488,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,16123366
ATP2A3,489,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,16123366
ATP2A3,489,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,16123366
ATP6,4508,Diabetes Mellitus,MESH:D003920,marker/mechanism,,18273840
AUTS2,26053,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,30718926
BACH2,60468,"Diabetes Mellitus, Type 1",MESH:D003922,marker/mechanism,,18978792
BAX,581,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,23090186
BAX,581,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,31626838
BCL2,596,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,16959961|23090186
BCL2,596,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,16959961|31626838
BCL2L1,598,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,16959961
BCL2L1,598,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,16959961
BCL2L11,10018,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,28869590
BDKRB1,623,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,21430409
BHMT,635,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,23665415
BRAF,673,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,28869590
C1QTNF6,114904,"Diabetes Mellitus, Type 1",MESH:D003922,marker/mechanism,,18978792
C2CD4A,145741,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,20818381
C2CD4B,388125,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,20818381
C3,718,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,20504758
CAPN10,11132,"Diabetes Mellitus, Noninsulin-Dependent, 1",MESH:C563359,marker/mechanism,601283,
CAPN10,11132,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,23349674
CASP12,100506742,"Diabetes Mellitus, Type 1",MESH:D003922,marker/mechanism,,23499715
CASP3,836,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,20654064
CASP3,836,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,15531508
CASP8,841,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,15531508
CAT,847,Diabetes Mellitus,MESH:D003920,marker/mechanism,,11117918
CAT,847,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism|therapeutic,,12123627|15855331|20709041
CAT,847,"Diabetes Mellitus, Type 1",MESH:D003922,therapeutic,,15111504
CAT,847,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism|therapeutic,,15111504|15531508
CAV1,857,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,18266981
CAV3,859,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,18266981
CBS,875,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,23665415
CCDC92,80212,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,28869590
CCL20,6364,"Diabetes Mellitus, Experimental",MESH:D003921,therapeutic,,21340626
CCL20,6364,"Diabetes Mellitus, Type 1",MESH:D003922,therapeutic,,21340626
CCND2,894,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,24464100
CCR5,1234,"Diabetes Mellitus, Insulin-Dependent, 22",MESH:C567284,marker/mechanism,612522,
CD36,948,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,31626838
CD68,968,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,20388520
CD69,969,"Diabetes Mellitus, Type 1",MESH:D003922,marker/mechanism,,19430480
CDKAL1,54901,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,17460697|23104008|23202124
CDO1,1036,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,23665415
CHRM2,1129,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,18603373
CHRM2,1129,"Diabetes Mellitus, Type 1",MESH:D003922,marker/mechanism,,18603373
CISD2,493856,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,28869590
CLEC16A,23274,"Diabetes Mellitus, Type 1",MESH:D003922,marker/mechanism,,17632545|18946483
CMIP,80790,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,28869590
CNKSR2,22866,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,30718926
COX2,4513,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,14563825
CP,1356,Diabetes Mellitus,MESH:D003920,marker/mechanism,,12572680
CP,1356,"Diabetes Mellitus, Type 1",MESH:D003922,marker/mechanism,,20012460
CPT1A,1374,Diabetes Mellitus,MESH:D003920,marker/mechanism,,19233164
CPT1A,1374,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,16123366
CPT1A,1374,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,16123366
CPT1B,1375,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,14563825
CRP,1401,"Diabetes Mellitus, Type 1",MESH:D003922,marker/mechanism,,20012460
CTLA4,1493,"Diabetes Mellitus, Insulin-Dependent, 12",MESH:C563326,marker/mechanism,601388,
CTSH,1512,"Diabetes Mellitus, Type 1",MESH:D003922,marker/mechanism,,18978792
CX3CL1,6376,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,20388520
CYBA,1535,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,11812764|12967931
CYBA,1535,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,15531508
CYBB,1536,Diabetes Mellitus,MESH:D003920,marker/mechanism,,23723366
CYBB,1536,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,19478208
CYP1A1,1543,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,22342832
CYP1A2,1544,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,22244987
CYP2B10,13088,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,22342832
CYP2B9,13094,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,22342832
CYP3A11,13112,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,22342832
CYP3A2,266682,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,22244987
CYP3A23-3A1,25642,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,22244987
CYP4A10,13117,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,22342832
CYP4A14,13119,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,22342832
DDIT3,1649,"Diabetes Mellitus, Type 1",MESH:D003922,marker/mechanism,,23499715
DGKD,8527,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,30718926
DNAJC3,5611,"ATAXIA, COMBINED CEREBELLAR AND PERIPHERAL, WITH HEARING LOSS AND DIABETES MELLITUS",OMIM:616192,marker/mechanism,616192,
ECE1,1889,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,16387788
EDN1,1906,"Diabetes Mellitus, Experimental",MESH:D003921,marker/mechanism,,12458661|12967931
EDN1,1906,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,16387788
EDNRA,1909,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,16387788
EDNRB,1910,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,16387788
EGFR,1956,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,22238402
ENPP1,5167,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,125853,
EPC2,26122,"Diabetes Mellitus, Type 2",MESH:D003924,marker/mechanism,,30718926
