GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,OmimIDs,PubMedIDs
ABCB1,5243,Epilepsy,MESH:D004827,marker/mechanism,,19570321|8001500
ADRA2A,150,Epilepsy,MESH:D004827,therapeutic,,17341653
AKT1,207,Epilepsy,MESH:D004827,therapeutic,,20064661
ALB,213,Epilepsy,MESH:D004827,marker/mechanism,,15356194|17121744
ALDH7A1,501,Pyridoxine-dependent epilepsy,MESH:C536254,marker/mechanism,266100,28087462
ALG13,79868,Epilepsy,MESH:D004827,marker/mechanism,,29942082
ANKRD11,29123,Epilepsy,MESH:D004827,marker/mechanism,,29942082
ARHGEF9,23229,Hyperekplexia and Epilepsy,MESH:C564474,marker/mechanism,300607,
ARID1B,57492,Epilepsy,MESH:D004827,marker/mechanism,,29942082
ASAH1,427,SPINAL MUSCULAR ATROPHY WITH PROGRESSIVE MYOCLONIC EPILEPSY,OMIM:159950,marker/mechanism,159950,
ASXL3,80816,Epilepsy,MESH:D004827,marker/mechanism,,29942082
ATP6AP2,10159,"Mental Retardation, X-Linked, with Epilepsy",MESH:C564516,marker/mechanism,300423,
AUTS2,26053,Epilepsy,MESH:D004827,marker/mechanism,,20502679
BCHE,590,"Epilepsy, Tonic-Clonic",MESH:D004830,marker/mechanism,,15121994
BDKRB1,623,"Epilepsy, Temporal Lobe",MESH:D004833,marker/mechanism,,15196965
BDKRB2,624,"Epilepsy, Temporal Lobe",MESH:D004833,therapeutic,,15196965
BDNF,627,Epilepsy,MESH:D004827,marker/mechanism,,15282290
BDNF,627,"Epilepsy, Tonic-Clonic",MESH:D004830,marker/mechanism,,16023256
CACNA1A,773,"Epilepsy, Absence",MESH:D004832,marker/mechanism,,17196942
CACNA1H,8912,"Epilepsy, Absence",MESH:D004832,marker/mechanism,611942,
CACNA2D2,9254,"Epilepsy, Absence",MESH:D004832,marker/mechanism,,14660671
CACNB4,785,"Epilepsy, Generalized",MESH:D004829,marker/mechanism,,10762541
CACNB4,785,"Epilepsy, Idiopathic Generalized",MESH:C562694,marker/mechanism,607682,
CACNB4,785,"Myoclonic Epilepsy, Juvenile",MESH:D020190,marker/mechanism,,10762541
CASR,846,"Epilepsy, Idiopathic Generalized",MESH:C562694,marker/mechanism,612899,
CDKL5,6792,Epilepsy,MESH:D004827,marker/mechanism,,29942082
CERT1,10087,Epilepsy,MESH:D004827,marker/mechanism,,29942082
CHD2,1106,Epilepsy,MESH:D004827,marker/mechanism,,23708187|29942082
CHRM1,1128,Epilepsy,MESH:D004827,marker/mechanism,,18333967
CHRM2,1129,Epilepsy,MESH:D004827,marker/mechanism,,18333967
CHRNA2,1135,"Epilepsy, Nocturnal Frontal Lobe, Type 4",MESH:C563679,marker/mechanism,610353,19383498
CHRNA4,1137,"Epilepsy, Frontal Lobe",MESH:D017034,marker/mechanism,,12823585|14996991|17881519
CHRNA4,1137,"Epilepsy, Nocturnal Frontal Lobe, Type 1",MESH:C563930,marker/mechanism,600513,
CHRNA7,1139,"Epilepsy, Generalized",MESH:D004829,marker/mechanism,,19136953
CHRNB2,1141,"Epilepsy, Frontal Lobe",MESH:D017034,marker/mechanism,,14996991
CHRNB2,1141,"Epilepsy, Nocturnal Frontal Lobe, Type 3",MESH:C565334,marker/mechanism,605375,
CLCN2,1181,"Epilepsy, Idiopathic Generalized",MESH:C562694,marker/mechanism,607628,
CNR1,1268,"Epilepsy, Temporal Lobe",MESH:D004833,therapeutic,,20498848
CNTN2,6900,"EPILEPSY, EARLY-ONSET, 5, WITH OR WITHOUT DEVELOPMENTAL DELAY",OMIM:615400,marker/mechanism,615400,
CNTNAP2,26047,Cortical Dysplasia-Focal Epilepsy Syndrome,MESH:C567657,marker/mechanism,610042,
CNTNAP2,26047,Epilepsy,MESH:D004827,marker/mechanism,,20502679|21962519
COX3,4514,"Epilepsy, Temporal Lobe",MESH:D004833,marker/mechanism,,17092649
CPA6,57094,"EPILEPSY, FAMILIAL TEMPORAL LOBE, 5",OMIM:614417,marker/mechanism,614417,
CYP2D6,1565,"Epilepsy, Tonic-Clonic",MESH:D004830,marker/mechanism,,16835697
DDX3X,1654,Epilepsy,MESH:D004827,marker/mechanism,,29942082
DEPDC5,9681,"Epilepsy, Partial, with Variable Foci",MESH:C565785,marker/mechanism,604364,23542697|23542701
DNM1,1759,Epilepsy,MESH:D004827,marker/mechanism,,29942082
DYRK1A,1859,Epilepsy,MESH:D004827,marker/mechanism,,29942082
EEF1A2,1917,Epilepsy,MESH:D004827,marker/mechanism,,29942082
EFHC1,114327,"Epilepsy, Absence",MESH:D004832,marker/mechanism,607631,
EFHC1,114327,"Myoclonic Epilepsy, Juvenile",MESH:D020190,marker/mechanism,254770,
ERN1,2081,Epilepsy,MESH:D004827,marker/mechanism,,19558813
FGF2,2247,"Epilepsy, Tonic-Clonic",MESH:D004830,marker/mechanism,,16023256
FLNA,2316,Epilepsy,MESH:D004827,marker/mechanism,,11914408
FOLR1,2348,Epilepsy,MESH:D004827,marker/mechanism,,19732866
FOS,2353,Epilepsy,MESH:D004827,marker/mechanism,,15973680
FOSB,2354,Epilepsy,MESH:D004827,marker/mechanism,,16391389
FOXG1,2290,Epilepsy,MESH:D004827,marker/mechanism,,29942082
GABRA1,2554,"Myoclonic Epilepsy, Juvenile",MESH:D020190,marker/mechanism,611136,
GABRB2,2561,Epilepsy,MESH:D004827,marker/mechanism,,29942082
GABRB3,2562,Epilepsy,MESH:D004827,marker/mechanism,,15878204|29942082
GABRB3,2562,"Epilepsy, Absence",MESH:D004832,marker/mechanism,612269,18514161
GABRD,2563,"Epilepsy, Idiopathic Generalized",MESH:C562694,marker/mechanism,613060,
GAL,51083,"EPILEPSY, FAMILIAL TEMPORAL LOBE, 8",OMIM:616461,marker/mechanism,616461,
GFAP,2670,Epilepsy,MESH:D004827,marker/mechanism,,21177194
GNAO1,2775,Epilepsy,MESH:D004827,marker/mechanism,,29942082
GPX1,2876,Epilepsy,MESH:D004827,marker/mechanism,,19499324
GRIN2A,2903,Epilepsy,MESH:D004827,marker/mechanism,,20890276|23933818
GRIN2A,2903,"EPILEPSY, FOCAL, WITH SPEECH DISORDER AND WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT",OMIM:245570,marker/mechanism,245570,
GRIN2A,2903,"Epilepsy, Rolandic",MESH:D019305,marker/mechanism,,23933819
GRIN2B,2904,Epilepsy,MESH:D004827,marker/mechanism,,16407536|29942082
GRM1,2911,Epilepsy,MESH:D004827,marker/mechanism,,19853022
GRM1,2911,"Epilepsy, Temporal Lobe",MESH:D004833,marker/mechanism,,15694259
GRM2,2912,"Epilepsy, Temporal Lobe",MESH:D004833,marker/mechanism,,18804094
