GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,OmimIDs,PubMedIDs
ABCB4,5244,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,20040336
ABCC2,1244,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,29341352
ACE,1636,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,21664615
ADH1A,124,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,29718361
ADH1B,125,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,29718361
ADH4,127,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,29718361
ADIPOQ,9370,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,20415685
AHCY,191,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,29127188
AHR,196,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,29416063
AHR2,30517,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,35412187
ALDH1A1,216,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,29718361
ALDH1B1,219,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,29718361
ALDH2,217,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,29718361
ALDH4A1,8659,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,29718361
APOH,350,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,35654975
ATP5F1B,506,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,25666834
B3GAT1,27087,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,24211274
C1QC,714,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,35789393
CAT,847,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,29718361
CD14,929,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,20353583
COBLL1,22837,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,35654975
CPT1A,1374,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,29289645
CSF2,1437,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,21664615
CYP17A1,1586,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,15706422
CYP1A2,1544,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,27565560
CYP2E1,1571,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,26428356
EIF2AK1,27102,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,29289645
ESR1,2099,Non-alcoholic Fatty Liver Disease,MESH:D065626,therapeutic,,34274649
F2,2147,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,22841818
FAS,355,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,23127599
FGF21,26291,Non-alcoholic Fatty Liver Disease,MESH:D065626,therapeutic,,26797127|29289645
FOLR2,2350,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,30794826
FTO,79068,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,35654975
GNMT,27232,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,31086990
GPT,2875,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,35654975
GSTA1,2938,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,23643483
GSTM1,2944,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,23643483
GSTP1,2950,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,23643483
GSTT1,2952,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,23643483
IFI30,10437,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,35654975
IKBKG,8517,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,21115542
IL1A,3552,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,21664615
IL1B,3553,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,32613381
IL1RN,3557,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,35654975
IL3,3562,Non-alcoholic Fatty Liver Disease,MESH:D065626,marker/mechanism,,21664615
