GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,OmimIDs,PubMedIDs
ANXA3,306,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,22446963
BANK1,55024,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,18204447
BLK,640,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,19838193
BLTP3A,54887,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,19838195
C1QA,712,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,8840296
C3,718,Lupus Nephritis,MESH:D008181,marker/mechanism,,31182691
CAT,847,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,27497885
CD226,10666,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,26808113
CD40LG,959,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,28793932
CFB,629,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,19838195
CLEC16A,23274,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,19838195
CLU,1191,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,15304052
CR2,1380,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,610927,
CRP,1401,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,17718048
CSK,1445,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,23042117
CTLA4,1493,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,152700,
DEF6,50619,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,26808113
DNASE1,1773,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,152700,
DNASE1L3,1776,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,614420,22019780
ETS1,2113,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,19838193
FAS,355,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,36999444
FAS,355,Lupus Nephritis,MESH:D008181,marker/mechanism,,33632240|38555047
FCGR2A,2212,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,152700,18204446
FCGR2B,2213,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,152700,
FCGR3A,2214,"Lupus Vasculitis, Central Nervous System",MESH:D020945,marker/mechanism,,26773105
FCGR3B,2215,Lupus Nephritis,MESH:D008181,marker/mechanism,,16482158
FCGR3B,2215,"Lupus Vasculitis, Central Nervous System",MESH:D020945,marker/mechanism,,26773105
HLA-DQA1,3117,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,11436868
HLA-DRB1,3123,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,11436868
IFIH1,64135,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,19838195|24686847
IFNG,3458,Lupus Nephritis,MESH:D008181,marker/mechanism,,31182691
IKZF1,10320,"Lupus Erythematosus, Systemic",MESH:D008180,marker/mechanism,,19838193
