GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,OmimIDs,PubMedIDs
ACACB,32,Obesity,MESH:D009765,marker/mechanism,,20882379
ACADM,34,Obesity,MESH:D009765,marker/mechanism,,20882379
ACHE,43,Obesity,MESH:D009765,marker/mechanism,,29273807
ACLY,47,Obesity,MESH:D009765,marker/mechanism,,20882379
ACP5,54,Obesity,MESH:D009765,marker/mechanism,,20882379
ACSL1,2180,Obesity,MESH:D009765,marker/mechanism,,20882379
ADCY3,109,Obesity,MESH:D009765,marker/mechanism,,29311635
ADCY3,109,"Obesity, Morbid",MESH:D009767,marker/mechanism,,29311637
ADH1B,125,Obesity,MESH:D009765,marker/mechanism,,20882379
ADIPOQ,9370,Obesity,MESH:D009765,marker/mechanism|therapeutic,,10092513|14617771
ADRB1,153,Obesity,MESH:D009765,marker/mechanism,,12032746
ADRB2,154,Obesity,MESH:D009765,marker/mechanism,,15687340
ADRB3,155,Obesity,MESH:D009765,marker/mechanism,601665,
AFF4,27125,Obesity,MESH:D009765,marker/mechanism,,25730767
AGRP,181,Obesity,MESH:D009765,marker/mechanism,601665,
AHR,196,Obesity,MESH:D009765,marker/mechanism,,27020609|30813227|31306034
AKAP1,8165,Obesity,MESH:D009765,marker/mechanism,,20975297
AKR1C3,8644,Obesity,MESH:D009765,marker/mechanism,,20882379
AKT1,207,Obesity,MESH:D009765,marker/mechanism,,23954404
ALDH1L1,10840,Obesity,MESH:D009765,marker/mechanism,,20882379
ALDH6A1,4329,Obesity,MESH:D009765,marker/mechanism,,20882379
ANGPTL4,51129,Obesity,MESH:D009765,therapeutic,,28842503
APCDD1,147495,Obesity,MESH:D009765,marker/mechanism,,28242765
APOA1,335,Pediatric Obesity,MESH:D063766,marker/mechanism,,25137265
APOA5,116519,Pediatric Obesity,MESH:D063766,marker/mechanism,,25137265
APOE,348,Obesity,MESH:D009765,marker/mechanism,,20975297
AQP7,364,Obesity,MESH:D009765,marker/mechanism,,16325777
ATPAF1,64756,Obesity,MESH:D009765,marker/mechanism,,20882379
BCHE,590,Obesity,MESH:D009765,marker/mechanism|therapeutic,,18452903|23000450|23073171|27163854
BDNF,627,"Obesity, Morbid",MESH:D009767,marker/mechanism,,21708048
CA3,761,Obesity,MESH:D009765,marker/mechanism,,20882379
CARTPT,9607,Obesity,MESH:D009765,marker/mechanism,601665,
CASP1,834,Obesity,MESH:D009765,marker/mechanism,,22325453
CCL2,6347,Obesity,MESH:D009765,marker/mechanism,,29035695
CD163,9332,Obesity,MESH:D009765,marker/mechanism,,29035695
CD40,958,Obesity,MESH:D009765,marker/mechanism,,29035695
CD68,968,Obesity,MESH:D009765,marker/mechanism,,29035695
CEBPA,1050,Obesity,MESH:D009765,marker/mechanism,,28242765
CEP19,84984,MORBID OBESITY AND SPERMATOGENIC FAILURE,OMIM:615703,marker/mechanism,615703,
CES1,1066,Obesity,MESH:D009765,marker/mechanism,,20975297
CES1G,12623,Obesity,MESH:D009765,marker/mechanism,,24597639
CETP,1071,Pediatric Obesity,MESH:D063766,marker/mechanism,,25137265
CIDEA,1149,Obesity,MESH:D009765,marker/mechanism,,20975297
CNR1,1268,Obesity,MESH:D009765,marker/mechanism,,18722357
COX7C,1350,Obesity,MESH:D009765,marker/mechanism,,20882379
CPB2,1361,Obesity,MESH:D009765,marker/mechanism,,16959692
CPE,1363,Obesity,MESH:D009765,marker/mechanism,,15358678|23434795
CRP,1401,Obesity,MESH:D009765,marker/mechanism,,24042701
CS,1431,Obesity,MESH:D009765,marker/mechanism,,20882379
CTF1,1489,Obesity,MESH:D009765,marker/mechanism,,21803294
CTSS,1520,Obesity,MESH:D009765,marker/mechanism,,21156398
CYB5A,1528,Obesity,MESH:D009765,marker/mechanism,,20882379
CYCS,54205,Obesity,MESH:D009765,marker/mechanism,,16317704
CYP1B1,1545,Obesity,MESH:D009765,therapeutic,,27036855
CYP26B1,56603,Obesity,MESH:D009765,marker/mechanism,,20882379
CYP2E1,1571,Obesity,MESH:D009765,marker/mechanism,,23954404
DCXR,51181,Obesity,MESH:D009765,marker/mechanism,,20882379
DDIT3,1649,Obesity,MESH:D009765,marker/mechanism,,26655953
DPYD,1806,Obesity,MESH:D009765,marker/mechanism,,20882379
DYRK1B,9149,ABDOMINAL OBESITY-METABOLIC SYNDROME 3,OMIM:615812,marker/mechanism,615812,
ECHS1,1892,Obesity,MESH:D009765,marker/mechanism,,20882379
EFNB1,1947,Obesity,MESH:D009765,marker/mechanism,,24098442
ENPP1,5167,Obesity,MESH:D009765,marker/mechanism,601665,
ENTPD6,955,Obesity,MESH:D009765,marker/mechanism,,29273807
EP300,2033,Obesity,MESH:D009765,marker/mechanism,,26441656
ESR1,2099,Obesity,MESH:D009765,marker/mechanism,,20667977
ETFDH,2110,Obesity,MESH:D009765,marker/mechanism,,20882379
F2,2147,Obesity,MESH:D009765,marker/mechanism,,22841818
