GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,OmimIDs,PubMedIDs
ACAA2,10449,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
ACAN,176,SHORT STATURE AND ADVANCED BONE AGE WITH OR WITHOUT EARLY-ONSET OSTEOARTHRITIS AND/OR OSTEOCHONDRITIS DISSECANS,OMIM:165800,marker/mechanism,165800,
ACO1,48,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
ACTB,60,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
ADGRG2,10149,Osteoarthritis,MESH:D010003,marker/mechanism,,17568789
AGER,177,Osteoarthritis,MESH:D010003,marker/mechanism,,16948116
AK4,205,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
AKR1C1,1645,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
AKR1C2,1646,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
ALDH1A2,8854,Osteoarthritis,MESH:D010003,marker/mechanism,,24728293
ASPN,54829,Osteoarthritis,MESH:D010003,marker/mechanism,607850,
ASTN2,23245,"Osteoarthritis, Hip",MESH:D015207,marker/mechanism,,30374069
ATP1A3,478,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
ATP6V1B2,526,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
BMP4,652,Osteoarthritis,MESH:D010003,marker/mechanism,,20008919
BMP6,654,Osteoarthritis,MESH:D010003,marker/mechanism,,20008919
CALCA,796,Osteoarthritis,MESH:D010003,marker/mechanism,,16690336
CHADL,150356,"Osteoarthritis, Hip",MESH:D015207,marker/mechanism,,28319091|30374069
CHI3L1,1116,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
CLIC1,1192,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
CLIC4,25932,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
CLU,1191,Osteoarthritis,MESH:D010003,marker/mechanism,,17568789|18784066
COL11A1,1301,"Osteoarthritis, Hip",MESH:D015207,marker/mechanism,,30374069
COL1A2,1278,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
COL2A1,1280,Osteoarthritis,MESH:D010003,marker/mechanism,,16189708|9061443
COL2A1,1280,Osteoarthritis with Mild Chondrodysplasia,MESH:C565740,marker/mechanism,604864,
COL6A2,1292,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
COMP,1311,Osteoarthritis,MESH:D010003,marker/mechanism,,7670472
COMP,1311,"Osteoarthritis, Hip",MESH:D015207,marker/mechanism,,28319091
CRHR1,1394,"Osteoarthritis, Hip",MESH:D015207,marker/mechanism,,30664745
CTSD,1509,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
CTSK,1513,Osteoarthritis,MESH:D010003,marker/mechanism,,30664745
CXCL2,2920,Osteoarthritis,MESH:D010003,marker/mechanism,,15292528
CXCL6,6372,Osteoarthritis,MESH:D010003,marker/mechanism,,15292528
CXCL8,3576,"Osteoarthritis, Spine",MESH:D055013,marker/mechanism,,34697729
DAPP1,27071,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
DDX3X,1654,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
DIABLO,56616,"Osteoarthritis, Hip",MESH:D015207,marker/mechanism,,30664745
DPEP1,1800,Osteoarthritis,MESH:D010003,marker/mechanism,,30664745
DPYSL2,1808,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
DUSP1,1843,"Osteoarthritis, Spine",MESH:D055013,marker/mechanism,,34697729
EDIL3,10085,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
EEF2,1938,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
ENO1,2023,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
ESD,2098,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
ETFA,2108,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
EZR,7430,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
FGF18,8817,Osteoarthritis,MESH:D010003,marker/mechanism,,30664745
FILIP1,27145,"Osteoarthritis, Hip",MESH:D015207,marker/mechanism,,30374069
FRZB,2487,Osteoarthritis,MESH:D010003,marker/mechanism,165720,
FTL,2512,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
GAPDH,2597,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
GDF5,8200,Osteoarthritis,MESH:D010003,marker/mechanism,612400,18830904|30664745
GDF5,8200,"Osteoarthritis, Knee",MESH:D020370,marker/mechanism,,30374069
GLS,2744,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
GSTK1,373156,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
HADHA,3030,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
HDAC9,9734,"Osteoarthritis, Hip",MESH:D015207,marker/mechanism,,30374069
HFE,3077,"Osteoarthritis, Hip",MESH:D015207,marker/mechanism,,30374069
HIBCH,26275,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
IDH2,3418,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
IDH3A,3419,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
IL11,3589,"Osteoarthritis, Hip",MESH:D015207,marker/mechanism,,30374069|30664745
IL1B,3553,Osteoarthritis,MESH:D010003,marker/mechanism,,21954917|37943572
IL6,3569,"Osteoarthritis, Spine",MESH:D055013,marker/mechanism,,34697729
IMMT,10989,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
ISOC2,79763,Osteoarthritis,MESH:D010003,marker/mechanism,,18784066
ITIH1,3697,"Osteoarthritis, Hip",MESH:D015207,marker/mechanism,,30374069
